 ár,mán,  t
1956,1,-3.6
1956,2,1.7
1956,3,1.2
1956,4,1.1
1956,5,4.3
1956,6,6.3
1956,7,7.9
1956,8,6.4
1956,9,6.9
1956,10,3.1
1956,11,3.6
1956,12,0.6
1957,1,0.4
1957,2,-1.8
1957,3,-1.3
1957,4,2.8
1957,5,5.1
1957,6,7.8
1957,7,9.5
1957,8,9.8
1957,9,6.1
1957,10,2.9
1957,11,2.1
1957,12,-1.4
1958,1,-2.6
1958,2,-3.2
1958,3,-1.3
1958,4,1.9
1958,5,2.2
1958,6,6.5
1958,7,7.5
1958,8,6.2
1958,9,9.0
1958,10,4.8
1958,11,3.1
1958,12,0.1
1959,1,-3.7
1959,2,0.7
1959,3,1.6
1959,4,-0.2
1959,5,5.5
1959,6,6.2
1959,7,8.6
1959,8,7.6
1959,9,8.2
1959,10,6.3
1959,11,0.8
1959,12,-0.3
1960,1,0.7
1960,2,-1.6
1960,3,0.1
1960,4,1.8
1960,5,5.0
1960,6,8.3
1960,7,8.7
1960,8,8.4
1960,9,7.5
1960,10,4.1
1960,11,3.3
1960,12,0.1
1961,1,0.3
1961,2,-0.4
1961,3,-1.2
1961,4,-0.7
1961,5,5.7
1961,6,6.0
1961,7,8.7
1961,8,8.6
1961,9,7.7
1961,10,4.9
1961,11,1.9
1961,12,-1.7
1962,1,-0.1
1962,2,-1.2
1962,3,-3.1
1962,4,2.2
1962,5,4.5
1962,6,6.6
1962,7,8.4
1962,8,7.4
1962,9,6.8
1962,10,4.0
1962,11,0.8
1962,12,-0.6
1963,1,-1.2
1963,2,-0.8
1963,3,1.5
1963,4,0.8
1963,5,2.2
1963,6,7.3
1963,7,6.4
1963,8,5.9
1963,9,3.9
1963,10,2.3
1963,11,-1.7
1963,12,0.2
1964,1,0.9
1964,2,1.3
1964,3,2.8
1964,4,2.4
1964,5,4.9
1964,6,7.7
1964,7,8.6
1964,8,6.6
1964,9,4.2
1964,10,3.4
1964,11,0.7
1964,12,-2.3
1965,1,-2.0
1965,2,2.3
1965,3,-4.3
1965,4,-1.6
1965,5,1.9
1965,6,5.0
1965,7,8.7
1965,8,7.4
1965,9,4.3
1965,10,5.2
1965,11,-0.2
1965,12,-2.3
1966,1,-2.8
1966,2,-3.4
1966,3,-2.4
1966,4,0.5
1966,5,2.7
1966,6,7.4
1966,7,8.4
1966,8,7.8
1966,9,6.5
1966,10,2.2
1966,11,-0.5
1966,12,-2.1
