 ár,mán,  t
1965,10,7.1
1965,11,0.6
1965,12,-0.6
1966,1,-1.3
1966,2,-1.3
1966,3,-0.3
1966,4,3.3
1966,5,5.8
1966,6,9.7
1966,7,10.9
1966,8,10.4
1966,9,8.5
1966,10,3.7
1966,11,0.8
1966,12,-1.0
1967,1,1.7
1967,2,1.7
1967,3,-2.5
1967,4,1.6
1967,5,5.1
1967,6,8.5
1967,7,10.2
1967,8,10.6
1967,9,8.1
1967,10,3.3
1967,11,0.9
1967,12,-0.5
1968,1,-0.6
1968,2,-1.1
1968,3,-0.8
1968,4,2.1
1968,5,5.2
1968,6,8.9
1968,7,11.7
1968,8,10.2
1968,9,9.6
1968,10,3.2
1968,11,5.1
1968,12,0.5
1969,1,-1.8
1969,2,-3.2
1969,3,0.1
1969,4,2.1
1969,5,6.3
1969,6,9.5
1969,8,11.5
1969,9,6.4
1969,10,5.5
1969,11,-1.1
1969,12,0.7
1970,1,1.0
1970,2,-1.8
1970,3,-1.6
1970,4,2.6
1970,5,6.3
1970,7,9.5
1970,8,10.2
1970,9,7.9
1970,10,4.3
1970,11,1.0
1970,12,1.9
1971,1,-2.7
1971,2,0.7
1971,3,1.2
1971,4,3.6
1971,5,6.4
1971,6,9.3
1971,7,11.0
1971,8,10.4
1971,9,8.3
1971,10,4.2
1971,11,1.0
1971,12,0.7
1972,1,3.0
1972,2,2.7
1972,3,2.7
1972,4,3.5
1972,5,7.9
1972,6,8.7
1972,7,9.9
1972,8,9.4
1972,9,8.2
1972,10,5.0
1972,11,0.5
1972,12,1.6
1973,1,3.0
1973,2,-1.3
1973,3,1.8
1973,4,2.9
1973,5,5.0
1973,6,7.8
1973,7,10.1
1973,8,10.3
1973,9,8.8
1973,10,5.0
1973,11,-0.8
1973,12,-3.4
1974,1,1.3
1974,2,-0.1
1974,3,4.0
1974,4,6.6
1974,5,8.4
1974,6,9.3
1974,8,9.8
1974,9,6.2
1974,10,5.1
1974,11,2.7
1974,12,-1.9
1975,1,-2.1
1975,2,3.0
1975,3,0.8
1975,4,2.5
1975,5,5.9
1975,6,7.9
1975,7,9.4
1975,8,10.4
1975,9,5.9
1975,10,6.9
1975,11,2.2
1975,12,-0.2
1976,1,-2.2
1976,2,0.9
1976,3,1.8
1976,4,3.0
1976,5,6.2
1976,6,9.6
1976,7,11.4
1976,8,9.6
1976,9,8.9
1976,10,6.3
1976,11,3.2
1976,12,-1.3
1977,1,-2.0
1977,2,-0.2
1977,3,3.2
1977,4,2.0
1977,5,7.0
1977,6,8.3
1977,7,11.0
1977,8,10.9
1977,9,7.8
1977,10,5.5
1977,11,-0.2
1977,12,2.0
1978,1,-1.3
1978,2,-0.3
1978,3,2.0
1978,5,5.9
1978,6,8.0
1978,7,10.9
1978,8,11.3
1978,9,8.2
1978,10,5.0
1978,11,1.1
1978,12,1.4
1979,3,-3.5
1979,4,2.1
1979,5,2.5
1979,6,8.0
1979,7,9.7
1979,8,9.6
1979,9,5.7
1979,10,5.2
1979,11,1.2
1979,12,0.3
1980,1,0.5
1980,2,2.2
1980,3,0.9
1980,4,3.7
1980,5,6.4
1980,6,9.0
1980,9,8.3
1980,10,1.7
1981,1,-1.8
1981,2,-0.7
1981,3,-0.7
1981,4,3.6
1981,5,6.0
1981,7,9.8
1981,8,10.2
1981,9,7.7
1981,11,-0.2
1981,12,-2.2
1982,1,-0.6
1982,2,2.9
1982,4,2.8
1982,5,5.2
1982,8,8.9
1982,9,5.5
1982,10,4.8
1982,11,-0.2
1982,12,-0.7
1983,3,-0.3
1983,6,7.8
1983,8,8.4
1983,9,6.7
1983,10,4.3
1983,11,1.6
1983,12,0.1
1984,3,1.5
1984,4,3.1
1984,5,5.0
1984,6,9.2
1984,7,10.7
1984,8,9.8
1984,9,7.7
1984,11,1.4
1984,12,1.4
1985,1,-0.4
1985,2,1.2
1985,3,0.6
1985,4,3.6
1985,5,6.6
1985,6,9.0
1985,7,9.6
1985,8,10.0
1985,9,7.0
1985,10,6.9
1985,11,0.6
1985,12,-0.7
1986,1,0.3
1986,2,2.1
1986,3,0.5
1986,4,3.0
1986,5,5.3
1986,6,8.2
1986,7,10.0
1986,8,9.8
1986,9,8.0
1986,10,3.1
1986,11,1.4
1986,12,-0.9
1987,1,3.1
1987,2,1.6
1987,3,1.0
1987,5,6.4
1987,6,9.7
1987,7,11.5
1987,8,11.2
1987,9,7.5
1987,10,2.2
1987,11,4.9
1987,12,4.0
