 ár,mán,  t
1961,1,-0.5
1961,2,-1.3
1961,3,-0.9
1961,4,-0.9
1961,5,6.1
1961,6,8.2
1961,7,9.7
1961,8,9.6
1961,9,8.0
1961,10,4.0
1961,11,0.8
1961,12,-3.3
1962,1,-0.6
1962,2,-1.3
1962,3,-4.5
1962,4,2.5
1963,1,-1.8
1963,2,-0.8
1963,3,1.9
1963,4,1.2
1963,5,3.0
1963,7,7.7
1963,8,7.4
1963,9,4.5
1963,10,3.4
1963,11,-3.0
1963,12,0.0
1964,1,1.6
1964,2,1.3
1964,3,3.9
1964,4,2.5
1964,5,5.8
1964,6,8.2
1964,7,9.0
1964,9,4.3
1964,10,4.3
1964,11,1.0
1964,12,-3.4
1965,1,-2.3
1965,3,-3.9
1965,4,0.5
1965,5,3.9
1965,7,10.4
1965,8,8.9
1965,9,5.2
1965,10,5.8
1965,11,-0.9
1965,12,-3.7
1966,1,-3.8
1966,2,-4.8
1966,3,-2.5
1966,4,1.2
1966,8,8.7
1966,9,6.9
1966,10,1.6
1966,11,-1.4
1966,12,-3.3
1967,1,-1.0
1967,2,-0.0
1967,3,-5.3
1967,4,0.2
1967,5,2.5
1967,6,7.6
1967,7,8.1
1967,8,9.4
1967,9,7.2
1967,10,1.3
1967,11,-1.6
1967,12,-2.6
1968,1,-3.4
1968,2,-4.0
1968,3,-3.5
1968,4,-0.2
1968,5,2.9
1968,6,5.6
1968,7,10.4
1968,8,9.2
1968,9,7.9
1968,10,0.6
1968,11,3.1
1968,12,-1.5
1969,1,-3.8
1969,2,-5.8
1969,3,-3.1
1969,4,-1.2
1969,5,3.8
1969,6,8.4
1969,8,10.7
1969,9,5.8
1974,2,-1.5
1974,3,2.5
1974,4,5.5
1974,5,6.9
1974,6,8.1
1974,7,9.7
1974,8,8.2
1974,9,4.3
1974,10,3.8
1974,11,1.1
1974,12,-4.0
1975,1,-5.6
1975,2,1.1
1975,3,-1.6
1975,4,0.3
1975,5,4.9
1975,6,5.5
1975,7,9.5
1975,8,9.3
1975,9,4.1
1975,10,4.4
1975,11,0.9
1975,12,-2.4
1976,1,-4.2
1976,2,-1.3
1976,3,0.5
1976,4,1.3
1976,5,4.2
1976,6,8.5
1976,7,10.5
1976,8,9.6
1976,9,7.5
1976,10,4.9
1976,11,1.9
1976,12,-3.0
1977,1,-3.4
1977,2,-3.4
1977,3,0.5
1977,4,-0.5
1977,5,5.6
1977,6,7.0
1977,7,9.9
1977,8,9.4
1977,9,6.5
1977,10,3.1
1977,11,-2.1
1977,12,-0.5
1978,1,-3.1
1978,2,-3.0
1978,3,-0.9
1978,4,2.5
1978,5,5.4
1978,6,7.3
1978,7,9.5
1978,8,10.5
1978,9,5.8
1978,10,3.5
1978,11,-1.1
1978,12,-0.2
1979,1,-5.8
1979,2,-1.8
1979,3,-6.0
1979,4,0.3
1979,5,-0.1
1979,6,7.1
1979,7,7.8
1979,8,8.5
1979,9,3.7
1979,10,3.7
1979,11,-0.4
1979,12,-1.5
1980,1,-1.9
1980,2,-0.4
1980,3,-0.4
1980,4,2.7
1980,5,5.7
1980,6,8.0
1980,7,9.9
1980,8,9.5
1980,9,6.6
1980,10,-0.4
1980,11,-0.4
1980,12,-3.4
1981,1,-4.3
1981,2,-3.3
1981,3,-3.1
1981,4,2.3
1981,5,3.3
1981,6,7.1
1981,7,8.6
1981,8,9.8
1981,9,5.0
1981,10,-1.1
1981,11,-2.0
1981,12,-3.6
1982,1,-3.9
1982,2,0.4
1982,3,-1.2
1982,4,1.8
1982,5,1.9
1982,6,7.8
1982,7,9.8
1982,8,7.6
1982,9,4.0
1982,10,2.9
1982,11,-1.9
1982,12,-3.2
1983,1,-4.1
1983,2,0.2
1983,3,-2.8
1983,4,-2.4
1983,5,2.8
1983,6,6.4
1983,7,8.6
1983,8,8.2
1983,9,5.0
1983,10,1.9
1983,11,-0.1
1983,12,-2.2
1984,1,-5.8
1984,2,-1.7
1984,3,-0.0
1984,4,2.1
1984,5,4.5
1984,6,7.8
1984,7,10.3
1984,8,9.4
1984,9,5.6
1984,10,1.9
1984,11,-1.1
1984,12,-0.6
1985,1,-2.4
1985,2,-1.4
1985,3,-1.6
1985,4,1.6
1985,5,5.4
1985,6,7.7
1985,7,8.5
1985,8,8.1
1985,9,4.8
1985,10,5.2
1986,9,6.3
1988,6,7.7
1988,7,8.7
1988,8,9.4
1988,9,5.8
1988,10,3.5
1988,11,1.6
1988,12,-0.6
1989,1,-1.9
1989,2,-4.3
1989,3,-2.6
1989,4,-0.2
1989,5,3.6
1989,6,7.8
1989,7,9.8
1989,8,8.9
1989,9,6.0
1989,10,3.9
1989,12,-1.1
1990,1,-0.6
1990,2,-2.7
1990,3,-3.4
1990,5,5.9
1990,6,8.8
