 ár,mán,  t
1989,11,2.0
1989,12,-0.1
1990,1,-0.1
1990,2,-1.8
1990,3,-2.3
1990,4,-0.7
1990,5,6.7
1990,6,9.8
1990,7,11.7
1990,8,11.2
1990,9,6.5
1990,10,4.4
1990,11,3.3
1990,12,-0.5
1991,1,0.5
1991,2,1.5
1991,3,1.6
1991,4,0.7
1991,5,6.1
1991,6,9.5
1991,7,13.3
1991,8,11.2
1991,9,7.1
1991,10,4.2
1991,11,-0.1
1991,12,0.8
1992,1,1.4
1992,2,-0.5
1992,3,-0.2
1992,4,2.0
1992,5,5.1
1992,6,7.8
1992,7,10.3
1992,8,9.9
1992,9,6.8
1992,11,1.0
1992,12,-1.0
1993,1,-3.5
1993,2,-0.3
1993,3,0.4
1993,4,3.4
1993,5,4.7
1993,6,9.3
1993,7,10.4
1993,8,9.3
1993,9,9.1
1993,10,4.2
1993,11,3.4
1993,12,-1.4
1994,1,-2.3
1994,2,0.6
1994,3,-1.5
1994,4,1.2
1994,5,7.0
1994,6,7.9
