 ár,mán,  t
1968,1,-0.4
1968,2,-0.9
1968,3,-0.3
1968,4,3.4
1968,5,5.8
1968,6,9.3
1968,7,12.2
1968,8,10.6
1968,9,10.1
1968,10,3.9
1968,11,5.4
1968,12,0.9
1969,1,-1.3
1969,2,-2.8
1969,3,0.9
1969,4,2.8
1969,5,7.1
1969,6,10.1
1969,7,10.3
1969,8,11.7
1969,9,6.1
1969,10,5.9
1969,11,-1.3
1969,12,0.9
1970,1,1.6
1970,2,-1.0
1970,3,-1.6
1970,4,2.8
1970,5,6.8
1970,6,9.0
1970,7,9.7
1970,8,10.5
1970,9,8.0
1970,10,4.3
1970,11,0.9
1970,12,2.2
1971,1,-2.1
1971,2,1.1
1971,3,1.8
1971,4,4.1
1971,5,7.1
1971,6,9.7
1971,7,11.3
1971,8,10.3
1971,9,8.5
1971,10,4.4
1971,11,0.8
1971,12,1.1
1972,1,3.5
1972,2,3.3
1972,3,2.9
1972,4,3.7
1972,5,8.2
1972,6,9.2
1972,7,10.2
1972,8,9.6
1972,9,8.4
1972,10,5.0
1972,11,0.6
1972,12,2.0
1973,1,3.2
1973,2,-1.5
1973,3,1.9
1973,4,3.2
1973,5,5.1
1973,6,8.1
1973,7,10.6
1973,8,10.4
1973,9,9.0
1973,10,4.8
1973,11,-0.8
1973,12,-3.2
1974,1,1.8
1974,2,0.5
1974,3,4.4
1974,4,6.8
1974,5,8.6
1974,6,9.7
1974,7,12.1
1974,8,10.6
1975,1,-1.8
1975,2,3.7
1975,3,1.2
1975,4,3.0
1975,5,6.2
1975,6,8.2
1975,7,10.1
1975,8,10.6
1975,9,6.0
1975,10,7.5
1975,11,2.7
1975,12,-0.2
1976,1,-1.9
1976,2,0.8
1976,3,1.9
1976,4,3.3
1976,6,9.6
1976,7,12.0
1976,8,9.7
1976,9,8.9
1976,10,6.7
1976,11,3.9
1976,12,-1.0
1977,1,-0.9
1977,2,1.5
1977,3,3.9
1977,4,2.2
1977,5,7.0
1977,6,8.6
1977,7,11.5
1977,8,11.1
1977,9,7.9
1977,10,5.5
1977,11,-0.4
1977,12,2.2
1978,1,-1.4
1978,2,-0.1
1978,3,2.5
1978,4,4.6
1978,5,6.2
1978,6,8.1
1978,7,11.7
1978,8,11.6
1978,9,8.8
1978,10,5.0
1978,11,1.1
1978,12,2.0
1979,1,-4.0
1979,2,0.7
