 ár,mán,  t
1990,2,-3.5
1990,3,-3.8
1990,4,-1.4
1990,5,7.1
1990,6,9.9
1990,7,11.9
1990,8,10.7
1990,9,5.5
1990,10,3.9
1990,11,1.7
1990,12,-2.5
1991,1,-0.2
1991,2,0.3
1991,3,1.0
1991,4,0.0
1991,5,6.4
1991,6,10.5
1991,7,13.5
1991,8,10.9
1991,9,6.4
1991,10,3.2
1991,11,-1.6
1991,12,-0.7
1992,1,0.9
1992,2,-1.6
1992,3,-1.2
1992,4,1.4
1992,5,5.5
1992,6,7.9
1992,7,10.4
1992,8,9.7
1992,9,6.3
1992,10,2.5
1992,11,-1.2
1992,12,-2.2
1993,1,-4.7
1993,2,-1.3
1993,3,-0.2
1993,4,2.4
1993,5,5.1
1993,6,8.9
1993,7,10.4
1993,8,9.4
1993,9,8.3
1993,10,2.3
1993,11,2.3
1993,12,-3.7
1994,1,-3.7
1994,2,-0.5
1994,3,-3.3
1994,4,0.4
1994,5,6.9
1994,6,8.2
1994,7,12.4
1994,8,10.7
1994,9,5.1
1994,10,2.4
1994,11,1.1
1994,12,-2.9
1995,1,-3.6
1995,2,-4.0
1995,3,-4.4
1995,4,0.2
1995,5,6.3
1995,6,9.4
1995,7,10.9
1995,8,10.3
1995,9,6.5
1995,10,2.1
1995,11,0.3
1995,12,-2.1
1996,1,0.7
1996,2,-2.8
1996,3,0.4
1996,4,3.8
1996,5,6.9
1996,6,10.3
1996,7,11.1
1996,8,10.2
1996,9,9.9
1996,10,2.8
1996,11,-5.0
1996,12,-1.5
1997,1,-1.6
1997,2,-3.1
1997,3,-1.8
1997,4,2.2
1997,5,5.6
1997,6,9.3
1997,7,12.2
1997,8,11.2
1997,9,6.7
1997,10,3.7
1997,11,2.7
1997,12,1.4
1998,1,-0.7
1998,2,-3.2
1998,3,-3.0
1998,4,2.6
1998,5,6.8
1998,6,10.7
1998,7,11.5
1998,8,11.4
1998,9,7.3
1998,10,0.7
1998,11,1.0
1998,12,-0.1
1999,1,-0.9
1999,2,-3.3
1999,3,-3.3
1999,4,1.8
1999,5,6.8
1999,6,9.2
1999,7,11.1
1999,8,11.1
1999,9,7.7
1999,10,4.5
1999,11,-0.2
1999,12,-3.7
2000,1,-1.5
2000,2,-3.0
2000,3,-1.4
2000,4,0.5
2000,5,6.2
2000,6,9.8
2000,7,12.1
2000,8,10.8
2000,9,8.0
2000,10,3.4
2000,11,-0.6
2000,12,-1.2
2001,1,0.0
2001,2,-1.7
2001,3,-1.3
2001,4,2.8
2001,5,6.6
2001,6,9.4
2001,7,11.0
2001,8,11.4
2001,9,8.6
2001,10,5.1
2001,11,-0.5
2001,12,0.2
2002,1,-0.0
2002,2,-5.3
2002,3,-1.2
2002,4,3.4
2002,5,7.2
2002,6,11.4
2002,7,10.9
2002,8,10.6
2002,9,8.7
2002,10,3.3
2002,11,3.9
2002,12,2.6
2003,1,-0.5
2003,2,0.6
2003,3,2.1
2003,4,5.4
2003,5,6.2
2003,6,11.3
2003,7,12.7
2003,8,12.9
2003,9,7.0
2003,10,3.5
2003,11,0.7
2003,12,-1.9
2004,1,-2.3
2004,2,-0.7
2004,3,2.9
2004,4,4.9
2004,5,7.3
2004,6,10.4
2004,7,11.7
2004,8,12.4
2004,9,8.0
2004,10,2.7
2004,11,-0.0
2004,12,-2.8
2005,1,-3.0
2005,2,-1.4
2005,3,1.6
2005,4,3.2
2005,5,5.7
2005,6,10.7
2005,7,12.1
2005,8,10.0
2005,9,4.5
2005,10,1.6
2005,11,0.0
2005,12,0.3
2006,1,0.0
2006,2,2.0
2006,3,-0.8
2006,4,1.1
2006,5,6.5
2006,6,9.4
2006,7,11.5
2006,8,11.6
2006,9,9.2
2006,10,3.8
2006,11,-0.4
2006,12,0.4
2007,1,-2.9
2007,2,-1.6
2007,3,0.9
2007,4,4.3
2007,5,5.8
2007,6,11.2
2007,7,12.8
2007,8,10.7
2007,9,7.0
2007,10,4.6
2007,11,0.6
2007,12,-0.5
2008,1,-2.6
2008,2,-2.0
2008,3,-1.5
2008,4,1.8
2008,5,8.4
2008,6,10.6
2008,7,13.3
2008,8,11.1
2008,9,8.2
2008,10,0.4
2008,11,0.7
2008,12,-0.9
2009,1,0.5
2009,2,-1.6
2009,3,-1.4
2009,4,4.5
2009,5,7.3
2009,6,10.6
2009,7,12.6
2009,8,11.0
2009,9,7.1
2009,10,3.8
2009,11,2.0
2009,12,-1.5
2010,1,0.2
2010,2,-2.0
2010,3,1.8
2010,4,1.4
2010,5,8.2
2010,6,11.8
2010,7,13.1
2010,8,11.7
2010,9,9.2
2010,10,4.5
2010,11,-1.5
2010,12,-2.5
2011,1,0.0
2011,2,0.5
2011,3,-1.3
2011,4,3.4
2011,5,6.5
2011,6,9.0
2011,7,12.2
2011,8,10.9
2011,9,8.2
2011,10,3.7
2011,11,2.8
2011,12,-4.7
2012,1,-1.7
2012,2,1.2
2012,3,1.9
2012,4,3.4
2012,5,6.4
2012,6,11.2
2012,7,12.6
2012,8,12.0
2012,9,5.6
2012,10,1.7
2012,11,-0.1
2012,12,0.1
2013,1,1.7
2013,2,2.4
2013,3,-0.6
2013,4,0.5
2013,5,5.6
2013,6,10.1
2013,7,11.5
2013,8,9.9
2013,9,5.9
2013,10,2.4
2013,11,-0.2
2013,12,-2.0
2014,1,1.8
2014,2,0.3
2014,3,0.9
2014,4,4.1
2014,5,7.5
2014,6,11.6
2014,7,12.0
2014,8,11.0
2014,9,8.1
2014,10,2.4
2014,11,4.3
2014,12,-3.5
2015,1,-2.6
2015,2,-1.7
2015,3,-0.7
2015,4,1.2
2015,5,3.7
2015,6,9.1
2015,7,10.7
2015,8,10.9
2015,9,8.6
2015,10,4.0
2015,11,-0.1
2015,12,-1.7
2016,1,-2.0
2016,2,-2.6
2016,3,1.1
2016,4,3.1
2016,5,6.6
2016,6,11.6
2016,7,12.4
2016,8,11.4
2016,9,7.3
2016,10,6.7
2016,11,1.5
2016,12,2.2
2017,1,-0.5
2017,2,2.0
2017,3,0.2
2017,4,2.1
2017,5,9.0
2017,6,9.7
2017,7,12.0
2017,8,10.5
2017,9,8.7
2017,10,4.8
2017,11,-3.1
2017,12,-2.9
2018,1,-1.8
2018,2,-0.5
2018,3,0.7
2018,4,3.5
2018,5,5.5
2018,6,9.6
2018,7,11.2
2018,8,10.2
2018,9,5.9
2018,10,2.5
2018,11,2.5
2018,12,1.0
2019,1,-2.1
2019,2,-0.5
2019,3,-0.4
2019,4,5.9
2019,5,7.4
2019,6,11.1
2019,7,13.7
2019,8,10.5
2019,9,8.2
2019,10,3.5
2019,11,0.1
2019,12,-1.5
2020,1,-1.4
2020,2,-1.6
2020,3,-1.8
2020,4,3.0
2020,5,6.5
2020,6,10.3
2020,7,11.3
2020,8,10.6
2020,9,6.2
2020,10,3.4
2020,11,0.1
2020,12,-0.5
2021,1,-2.5
2021,2,1.1
2021,3,1.1
2021,4,2.1
2021,5,4.9
2021,6,8.4
2021,7,12.2
2021,8,12.6
2021,9,7.4
2021,10,3.9
2021,11,0.1
2021,12,-0.5
2022,1,-0.8
2022,2,-3.5
2022,3,1.6
2022,4,4.4
2022,5,7.6
2022,6,9.9
2022,7,11.3
2022,8,10.2
2022,9,8.8
2022,10,3.3
2022,11,4.4
2022,12,-6.2
2023,1,-3.5
2023,2,0.7
2023,3,-3.7
2023,4,4.2
