 ár,mán,  t
1969,8,9.5
1969,9,4.2
1969,10,1.2
1969,11,-6.8
1969,12,-3.6
1970,1,-3.4
1970,2,-7.5
1970,3,-7.3
1970,4,-3.7
1970,5,3.7
1970,6,9.2
1970,7,6.1
1970,8,7.5
1970,9,3.9
1970,10,0.4
1970,11,-4.2
1970,12,-3.1
1971,1,-9.3
1971,2,-3.0
1971,3,-2.8
1971,4,-0.7
1971,5,4.4
1971,6,6.4
1971,7,9.5
1971,8,7.7
1971,9,4.6
1971,10,1.3
1971,11,-3.7
1971,12,-4.7
1972,1,-0.5
1972,2,-1.4
1972,3,-0.3
1972,4,-0.5
1972,5,4.4
1972,6,6.5
1972,7,9.4
1972,8,7.6
1972,9,5.4
1972,10,1.5
1972,11,-3.0
1972,12,-1.6
1973,1,-0.4
1973,2,-7.5
1973,3,-0.7
1973,4,-0.8
1973,5,1.9
1973,6,5.3
1973,7,9.7
1973,8,7.5
1973,9,6.7
1973,10,0.6
1973,11,-8.2
1973,12,-9.2
1974,1,-1.6
1974,2,-3.9
1974,3,0.9
1974,4,4.0
1974,5,4.4
1974,6,7.9
1974,7,8.2
1974,8,6.7
1974,9,2.9
1974,10,0.1
1974,11,-1.9
1974,12,-7.5
1975,1,-8.5
1975,2,-1.5
1975,3,-3.8
1975,4,-2.3
1975,5,4.0
1975,6,5.0
1975,7,10.9
1975,8,8.7
1975,9,2.4
1975,10,1.8
1975,11,-1.2
1975,12,-4.2
1976,1,-7.4
1976,2,-2.3
1976,3,-0.9
1976,4,0.1
1976,5,2.9
1976,6,7.8
1976,7,10.5
1976,8,9.9
1976,9,5.3
1976,10,2.1
1976,11,-0.7
1976,12,-7.6
1977,1,-5.0
1977,2,-5.7
1977,3,-3.0
1977,4,-4.0
1977,5,2.4
1977,6,7.5
1977,7,10.3
1977,8,7.3
1977,9,4.0
1977,10,1.4
1977,11,-4.6
1977,12,-2.4
1978,1,-7.0
1978,2,-7.0
1978,3,-3.1
1978,4,-0.9
1978,5,3.9
1978,6,6.2
1978,7,9.0
1978,8,9.7
1978,9,4.3
1978,10,0.7
1978,11,-4.5
1978,12,-3.0
1979,1,-9.8
1979,2,-5.7
1979,3,-10.2
1979,4,-2.0
1979,5,-3.5
1979,6,7.0
1979,7,7.7
1979,8,6.5
1979,9,1.5
1979,10,1.6
1979,11,-4.3
1979,12,-4.3
1980,1,-5.7
1980,2,-4.7
1980,3,-3.1
1980,4,0.9
1980,5,4.7
1980,6,7.8
1980,7,8.4
1980,8,7.9
1980,9,4.5
1980,10,-2.5
1980,11,-3.5
1980,12,-6.9
1981,1,-7.1
1981,2,-6.6
1981,3,-5.1
1981,4,0.6
1981,5,1.7
1981,6,5.5
1981,7,8.1
1981,8,9.0
1981,9,4.0
1981,10,-3.0
1981,11,-4.6
1981,12,-5.8
1982,1,-6.0
1982,2,-1.5
1982,3,-3.4
1982,4,-0.4
1982,5,0.6
1982,6,7.8
1982,7,10.3
1982,8,6.7
1982,9,2.2
1982,10,0.9
1982,11,-4.5
1982,12,-5.5
1983,1,-6.3
1983,2,-2.0
1983,3,-4.3
1983,4,-5.7
1983,5,1.1
1983,6,6.7
1983,7,9.3
1983,8,8.2
1983,9,2.0
1983,10,-0.7
1983,11,-2.8
1983,12,-5.5
1984,1,-8.6
1984,2,-2.7
1984,3,-2.5
1984,4,1.4
1984,5,4.4
1984,6,8.8
1984,7,11.3
1984,8,9.7
1984,9,4.4
1984,10,-0.9
1984,11,-3.1
1984,12,-2.7
1985,1,-6.8
1985,2,-5.1
1985,3,-4.8
1985,4,-1.2
1985,5,3.8
1985,6,6.4
1985,7,7.7
1985,8,6.1
1985,9,2.8
1985,10,3.2
1985,11,-5.9
1985,12,-7.4
1986,1,-4.8
1986,2,-5.7
1986,3,-2.4
1986,4,-1.1
1986,5,0.7
1986,6,8.5
1986,7,8.4
1986,8,7.4
1986,9,3.4
1986,10,-1.2
1986,11,-3.5
1986,12,-4.7
1987,1,-2.6
1987,2,-4.6
1987,3,-3.0
1987,4,0.8
1987,5,5.8
1987,6,6.3
1987,7,9.6
1987,8,7.7
1987,9,4.3
1987,10,-0.5
1987,11,0.9
1987,12,-1.5
1988,1,-9.0
1988,2,-6.2
1988,3,-5.3
1988,4,-5.0
1988,5,2.7
1988,6,8.8
1988,7,8.1
1988,8,8.5
1988,9,4.8
1988,10,0.1
1988,11,-2.1
1988,12,-3.7
1989,1,-3.7
1989,2,-6.5
1989,3,-4.4
1989,4,-1.4
1989,5,2.2
1989,6,6.3
1989,7,10.3
1989,8,8.0
1989,9,5.1
1989,10,1.3
1989,11,-2.1
1989,12,-4.5
1990,1,-2.5
1990,2,-5.5
1990,3,-5.5
1990,4,-3.3
1990,5,5.2
1990,6,6.9
1990,7,9.6
1990,8,9.3
1990,9,4.2
1990,10,1.1
1990,11,-1.9
