 ár,mán,  t
1998,1,0.5
1998,2,-1.7
1998,3,-2.0
1998,4,2.8
1998,5,6.0
1998,6,10.4
1998,7,10.7
1998,8,11.0
1998,9,7.8
1998,10,2.7
1998,11,2.1
1998,12,1.0
1999,1,0.1
1999,2,-1.6
1999,3,-2.0
1999,4,2.1
1999,5,6.3
1999,6,8.6
1999,7,10.9
1999,8,11.4
1999,9,8.0
1999,10,5.1
1999,11,1.3
1999,12,-0.6
2000,1,0.3
2000,2,-0.9
2000,3,-0.4
2000,4,1.2
2000,5,5.4
2000,6,9.3
2000,7,11.6
2000,8,10.4
2000,9,8.4
2000,10,4.8
2000,11,1.6
2000,12,0.6
2001,1,1.5
2001,2,-0.6
2001,3,-1.3
2001,4,2.6
2001,5,5.8
2001,6,9.1
2001,7,10.4
2001,8,11.3
2001,9,9.2
2001,10,5.7
2001,11,1.4
2001,12,2.0
2002,1,0.9
2002,2,-3.5
2002,3,-0.4
2002,4,2.9
2002,5,6.4
2002,6,10.6
2002,7,10.3
2002,8,9.9
2002,9,8.9
2002,10,5.3
2002,11,5.3
2002,12,4.2
2003,1,1.3
2003,2,1.9
2003,3,2.8
2003,4,5.2
2003,5,6.2
2003,6,11.1
2003,7,12.3
2003,8,12.7
2003,9,8.4
2003,10,5.3
2003,11,3.0
2003,12,0.6
2004,1,-0.8
2004,2,0.3
2004,3,3.2
2004,4,4.4
2004,5,6.5
2004,6,10.6
2004,7,11.7
2004,8,12.9
2004,9,8.9
2004,10,4.0
2004,11,1.7
2004,12,-0.4
2005,1,-0.2
2005,2,0.8
2005,3,2.8
2005,4,3.6
2005,5,5.5
2005,6,10.0
2005,7,11.6
2005,8,10.1
2005,9,5.4
2005,10,2.5
2005,11,1.5
2005,12,2.0
2006,1,1.0
2006,2,2.1
2006,3,0.5
2006,4,1.5
2006,5,5.9
2006,6,8.5
2006,7,11.4
2006,8,10.9
2006,9,9.4
2006,10,4.5
2006,11,0.7
2006,12,2.6
2007,1,-0.1
2007,2,0.1
2007,3,1.5
2007,4,4.2
2007,5,5.2
2007,6,10.6
2007,7,12.9
2007,8,10.5
2007,9,7.5
2007,10,5.5
2007,11,2.2
2007,12,1.2
2008,1,-0.1
2008,2,-0.7
2008,3,0.3
2008,4,3.2
2008,5,8.0
2008,6,10.1
2008,7,13.0
2008,8,11.3
2008,9,9.4
2008,10,2.9
2008,11,2.2
2008,12,1.0
2009,1,1.8
2009,2,0.1
2009,3,-0.2
2009,4,3.8
2009,5,7.1
2009,6,10.0
2009,7,12.3
2009,8,11.0
2009,9,7.6
2009,10,4.6
2009,11,2.8
2009,12,0.9
2010,1,2.1
2010,2,0.1
2010,3,2.4
2010,4,2.5
2010,5,7.7
2010,6,11.4
2010,7,13.2
2010,8,11.6
2010,9,10.1
2010,10,5.9
2010,11,0.9
2010,12,0.7
2011,1,0.9
2011,2,1.9
2011,3,-0.7
2011,4,3.5
2011,5,5.8
2011,6,8.1
2011,7,12.4
2011,8,11.1
2011,9,8.8
2011,10,4.3
2011,11,3.9
2011,12,-1.8
2012,1,0.3
2012,2,2.1
2012,3,2.4
2012,4,3.9
2012,5,6.0
2012,6,11.1
2012,7,12.7
2012,8,12.0
2012,9,7.0
2012,10,3.7
2012,11,0.9
2012,12,1.7
2013,1,2.5
2013,2,3.3
2013,3,0.5
2013,4,1.1
2013,5,4.8
2013,6,9.7
2013,7,10.7
2013,8,9.9
2013,9,6.7
2013,10,3.8
2013,11,1.4
2013,12,-0.6
2014,1,2.6
2014,2,1.6
2014,3,1.5
2014,4,4.5
2014,5,7.4
2014,6,11.3
2014,7,11.2
2014,8,11.0
2014,9,8.9
2014,10,4.2
2014,11,4.6
2014,12,-0.4
2015,1,-0.2
2015,2,-0.8
2015,3,0.5
2015,4,1.6
2015,5,3.7
2015,6,8.8
2015,7,10.8
2015,8,10.2
2015,9,8.8
2015,10,4.9
2015,11,2.4
2015,12,-0.1
2016,1,0.5
2016,2,-0.4
2016,3,2.0
2016,4,3.9
2016,5,6.2
2016,6,10.9
2016,7,11.9
2016,8,11.5
2016,9,8.5
2016,10,7.5
2016,11,3.4
2016,12,3.2
2017,1,0.8
2017,2,2.8
2017,3,1.6
2017,4,2.5
2017,5,8.1
2017,6,9.4
2017,7,11.7
2017,8,10.8
2017,9,9.3
2017,10,6.6
2017,11,-0.1
2017,12,-0.7
2018,1,0.1
2018,2,0.7
2018,9,
2018,10,
2018,11,
2018,12,
2019,1,
2019,2,
2019,3,
2019,4,
2019,5,
2019,6,
2019,7,
2019,8,
2019,9,
2019,10,
2019,11,
2019,12,
2020,1,
2020,2,
2020,3,
2020,4,
2020,5,
2020,6,
2020,7,
2020,8,
2020,9,
2020,10,
2020,11,
2020,12,
2021,1,
2021,2,
2021,3,
2021,4,
2021,5,
2021,7,
2021,10,
2021,12,
