 ár,mán,  t
1949,1,-4.6
1949,2,-1.2
1949,3,-2.0
1949,4,-3.2
1949,5,1.2
1949,6,9.1
1949,7,10.5
1949,8,8.3
1949,9,8.1
1949,10,1.8
1949,11,0.0
1949,12,-3.7
1950,1,0.9
1950,2,-3.4
1950,3,-1.1
1950,4,-1.8
1950,5,5.0
1950,6,7.8
1950,7,10.3
1950,8,9.6
1950,9,4.8
1950,10,1.7
1950,11,-2.5
1950,12,-5.1
1951,1,-4.3
1951,2,-2.1
1951,3,-6.3
1951,4,-2.1
1951,5,6.3
1951,6,8.3
1951,7,9.1
1951,8,8.4
1951,9,6.7
1951,10,3.8
1951,11,-1.8
1951,12,-2.6
1952,1,-5.1
1952,2,-2.2
1952,3,-1.8
1952,4,0.4
1952,5,3.6
1952,6,5.0
1952,7,9.0
1952,8,7.6
1952,9,5.7
1952,10,4.1
1952,11,1.1
1952,12,-2.0
1953,1,-1.6
1953,2,0.0
1953,3,0.8
1953,4,-3.3
1953,5,5.3
1953,6,10.7
1953,7,10.2
1953,8,9.4
1953,9,8.4
1953,10,2.0
1953,11,-0.6
1953,12,1.0
1954,1,0.1
1954,2,-2.7
1954,3,-1.8
1954,4,2.9
1954,5,5.9
1954,6,7.3
1954,7,7.9
1954,8,8.4
1954,9,3.0
1954,10,0.7
1954,11,1.0
1954,12,-3.5
1955,1,-5.3
1955,2,-6.7
1955,3,-1.9
1955,4,3.0
1955,5,4.0
1955,6,9.0
1955,7,11.2
1955,8,10.4
1955,9,5.9
1955,10,0.8
1955,11,1.9
1955,12,-5.6
1956,1,-5.7
1956,2,2.1
1956,3,1.5
1956,4,0.6
1956,5,4.5
1956,6,7.1
1956,7,8.8
1956,8,6.6
1956,9,7.5
1956,10,3.0
1956,11,3.5
1956,12,0.2
1957,1,-0.9
1957,2,-5.5
1957,3,-2.2
1957,4,3.1
1957,5,5.6
1957,6,8.2
1957,7,10.0
1957,8,9.8
1957,9,4.4
1957,10,2.4
1957,11,1.0
1957,12,-3.1
1958,1,-4.8
1958,2,-5.2
1958,3,-2.9
1958,4,2.1
1958,5,1.9
1958,6,7.8
1958,7,8.4
1958,8,6.1
1958,9,9.7
1958,10,4.1
1958,11,2.4
1958,12,-2.9
1959,1,-7.6
1959,2,0.8
1959,3,1.7
1959,4,-1.0
1959,5,5.9
1959,6,7.0
1959,7,9.9
1959,8,7.6
1959,9,8.4
1959,10,6.3
1959,11,-1.7
1959,12,-2.6
1960,1,-1.1
1960,2,-4.1
1960,3,0.7
1960,4,1.9
1960,5,6.5
1960,6,9.3
1960,7,9.1
1960,8,7.8
1960,9,7.6
1960,10,2.1
1960,11,0.7
1960,12,-2.0
1961,1,-1.3
1961,2,-1.6
1961,3,-1.7
1961,4,-1.5
1961,5,6.8
1961,6,6.7
1961,7,9.1
1961,8,8.7
1961,9,7.5
1961,10,3.3
1961,11,-0.2
1961,12,-4.3
1962,1,-1.7
1962,2,-2.3
1962,3,-5.8
1962,4,2.2
1962,5,4.5
1962,6,7.4
1962,7,9.1
1962,8,7.1
1962,9,5.7
1962,10,2.4
1962,11,-1.6
1962,12,-2.3
1963,1,-2.6
1963,2,-1.6
1963,3,1.2
1963,4,0.6
1963,5,2.3
1963,6,9.0
1963,7,7.8
1963,8,6.4
1963,9,3.4
1963,10,2.7
1963,11,-4.4
1963,12,-0.4
1964,1,1.1
1964,2,1.0
1964,3,3.5
1964,4,1.7
1964,5,5.1
1964,6,8.1
1964,7,9.2
1964,8,6.4
1964,9,3.6
1964,10,3.0
1964,11,0.3
1964,12,-4.7
1965,1,-3.0
1965,2,2.0
1965,3,-4.9
1965,4,-0.3
1965,5,3.5
1965,6,7.3
1965,7,9.5
1965,8,7.5
1965,9,4.2
1965,10,5.2
1965,11,-3.9
1965,12,-5.6
1966,1,-4.5
1966,2,-5.8
1966,3,-3.1
1966,4,0.7
1966,5,3.2
1966,6,8.7
1966,7,8.4
1966,8,7.8
1966,9,6.2
1966,10,0.4
1966,11,-2.0
1966,12,-4.5
1967,1,-0.7
1967,2,-0.3
1967,3,-7.0
1967,4,-0.8
1967,5,1.8
1967,6,7.5
1967,7,6.9
1967,8,8.8
1967,9,6.6
1967,10,0.1
1967,11,-2.5
1967,12,-3.5
1968,1,-4.7
1968,2,-4.1
1968,3,-4.2
1968,4,-0.4
1968,5,2.8
1968,6,5.4
1968,7,10.5
1968,8,8.5
1968,9,7.2
1968,10,-1.2
1968,11,2.9
1968,12,-2.7
1969,1,-5.1
1969,2,-6.3
1969,3,-3.8
1969,4,-1.1
