 ár,mán,  t
1985,7,10.0
1985,8,9.3
1985,9,6.1
1985,10,6.2
1985,11,-0.7
1985,12,-1.5
1986,1,0.2
1986,2,0.5
1986,3,1.4
1986,4,3.3
1986,5,5.3
1986,6,9.0
1986,7,10.3
1986,8,9.3
1986,9,6.9
1986,10,3.2
1986,11,1.6
1986,12,-0.1
1987,1,1.5
1987,2,0.1
1987,3,1.1
1987,4,4.3
1987,5,6.9
1987,6,8.2
1987,7,10.6
1987,8,9.9
1987,9,7.8
1987,10,3.7
1987,11,3.8
1987,12,2.4
1988,1,-2.5
1988,2,-0.9
1988,3,-0.5
1988,4,0.5
1988,5,6.6
1988,6,9.2
1988,7,9.8
1988,8,10.7
1988,9,7.8
1988,10,4.1
1988,11,1.7
1988,12,0.8
1989,1,0.8
1989,2,-1.9
1989,3,-0.0
1989,4,2.7
1989,5,5.6
1989,6,8.4
1989,7,10.5
1989,8,9.6
1989,9,7.6
1989,10,4.9
1989,11,1.7
1989,12,-0.3
1990,1,1.6
1990,2,-0.3
1990,3,-0.8
1990,4,1.9
1990,5,6.8
1990,6,9.2
1990,7,10.8
1990,8,10.6
1990,9,7.0
1990,10,5.1
1990,11,2.5
1990,12,0.0
1991,1,2.2
1991,2,2.2
1991,3,3.1
1991,4,2.0
1991,5,7.9
1991,6,8.5
1991,7,11.7
1991,8,10.8
1991,9,7.6
1991,10,5.0
1991,11,0.8
1991,12,1.2
1992,1,2.5
1992,2,0.7
1992,3,0.7
1992,4,2.7
1992,5,6.1
1992,6,9.0
1992,7,9.4
1992,8,9.5
1992,9,7.8
1992,10,4.0
