 ár,mán,  t
1989,10,4.5
1989,11,2.3
1989,12,-0.4
1990,1,-0.7
1990,2,-2.8
1990,3,-3.1
1990,4,-1.0
1990,5,5.6
1990,6,9.1
1990,7,11.2
1990,8,10.1
1990,9,5.8
1990,10,3.7
1990,11,3.3
1990,12,-0.5
1991,1,0.6
1991,2,0.7
1991,3,0.8
1991,4,-0.1
1991,5,5.3
1991,6,7.2
1991,7,11.3
1991,8,10.0
1991,9,6.3
1991,10,3.6
1991,11,-0.4
1991,12,0.7
1992,1,1.2
1992,2,-1.5
1992,3,-0.7
1992,4,1.2
1992,5,4.2
1992,6,6.6
1992,7,8.7
1992,8,8.9
1992,9,5.8
1992,10,4.0
1992,11,0.7
1992,12,-1.2
1993,1,-3.7
1993,2,-0.6
1993,3,0.1
1993,4,2.3
1993,5,4.2
1993,6,8.2
1993,7,8.2
1993,8,8.2
1993,9,7.9
1993,11,3.0
1993,12,-1.3
1994,1,-2.6
1994,2,0.7
1994,3,-2.0
1994,4,0.6
1994,5,5.8
1994,6,6.5
1994,7,9.9
1994,8,9.4
1994,9,6.2
1994,10,1.8
1994,12,-1.4
1995,1,-3.4
1995,2,-2.6
1995,3,-3.1
1995,5,4.0
1995,6,7.6
1995,7,9.3
1995,8,9.7
1995,9,7.2
1995,10,2.3
1995,11,2.2
1996,2,-1.1
1996,4,2.5
1996,5,5.8
1996,6,8.8
1996,7,10.1
1996,8,9.7
1996,9,9.8
1996,10,3.4
1996,11,-1.8
1997,2,-2.7
1997,3,-2.0
1997,4,2.5
1997,5,4.5
1997,6,6.9
1997,7,10.5
1997,8,9.5
1997,9,7.0
1997,10,4.5
1998,2,-2.5
1998,4,1.9
1998,6,
1998,7,9.3
1998,8,10.3
1998,10,2.3
1999,5,5.1
1999,6,7.8
1999,8,9.7
1999,11,1.3
2000,1,0.1
2000,3,-1.1
2000,4,1.4
2000,5,5.0
2000,6,8.5
2000,8,9.8
2000,9,8.1
2000,10,3.8
2000,12,0.0
2001,4,2.2
2001,5,5.2
2001,6,7.7
2001,7,10.0
2001,8,10.2
2001,9,8.5
2001,11,1.6
2002,4,2.3
2002,6,9.3
2002,7,9.4
2002,9,8.7
2003,1,0.8
2003,2,
2003,3,2.1
2003,4,4.3
2003,5,5.9
2003,6,10.3
2003,7,11.4
2003,8,11.9
2003,9,
2003,10,4.8
2003,11,2.2
