 ár,mán,  t
1961,3,1.4
1961,4,1.6
1961,5,7.1
1961,6,7.9
1961,7,9.6
1961,8,9.5
1961,9,8.7
1961,10,6.5
1961,11,3.5
1961,12,-1.1
1962,1,2.1
1962,2,0.4
1962,3,-2.1
1962,4,3.6
1962,5,5.9
1962,6,6.9
1962,7,8.3
1962,8,7.9
1962,9,6.8
1962,10,4.6
1962,11,1.8
1962,12,0.9
1963,1,-0.6
1963,2,0.7
1963,3,3.4
1963,4,2.0
1963,5,4.1
1963,6,6.5
1963,7,7.4
1963,8,7.2
1963,9,5.8
1963,10,5.3
1963,11,0.2
1963,12,1.3
1964,1,2.1
1964,2,1.9
1964,3,4.1
1964,4,2.9
1964,5,4.4
1964,6,6.4
1964,7,8.0
1964,8,8.2
1964,9,5.7
1964,10,5.5
1964,11,2.6
1964,12,-1.1
1965,1,-0.3
1965,2,2.1
1965,3,-2.3
1965,4,1.0
1965,5,2.5
1965,6,5.0
1965,7,6.0
1965,8,7.2
1965,9,5.5
1965,10,5.9
1965,11,0.6
1965,12,-1.4
1966,1,-0.9
1966,2,-2.1
1966,3,-0.9
1966,4,2.2
1966,5,3.3
1966,6,7.1
1966,7,8.0
1966,8,8.0
1966,9,6.6
1966,10,3.6
1966,11,0.8
1966,12,-0.7
1967,1,1.1
1967,2,2.0
1967,4,0.9
1967,5,1.9
1967,6,5.3
1967,7,6.5
1967,8,6.8
1967,9,7.1
1967,10,3.1
1967,11,1.0
1967,12,-0.6
1968,1,-1.9
1968,2,-2.4
1968,3,-1.5
1968,4,0.1
1968,5,0.8
1968,6,4.1
1968,7,5.7
1968,8,7.6
1968,11,3.8
1968,12,0.2
1969,1,-0.9
1969,2,-3.0
1969,3,-1.9
1969,4,1.5
1969,5,2.4
1969,6,5.6
1969,7,6.3
1969,8,7.6
1969,9,5.1
1969,10,4.4
1969,11,-1.7
1969,12,0.7
1970,1,0.6
1970,2,-1.6
1970,3,-2.7
1970,4,0.4
1970,5,3.6
1970,6,6.3
1970,7,6.5
1970,8,6.9
1970,9,6.2
1970,10,3.8
1970,11,1.4
1970,12,1.7
1971,1,-2.6
1971,2,1.1
1971,3,0.5
1971,4,1.5
1971,5,4.0
1971,6,5.0
1971,7,7.2
1971,8,7.5
1971,9,6.5
1971,10,4.3
1971,11,0.5
1971,12,1.0
1972,1,2.9
1972,2,2.1
1972,3,2.8
1972,4,2.4
1972,5,5.3
1972,6,6.5
1972,7,8.1
1972,8,8.5
1972,9,7.3
1972,10,5.2
1972,11,1.4
1972,12,2.8
1973,1,3.3
1973,2,-2.0
1973,3,2.2
1973,4,1.2
1973,5,3.1
1973,6,5.3
1973,7,6.9
1973,8,7.6
1973,9,7.2
1973,10,4.0
1973,11,-2.2
1973,12,-2.7
1974,1,1.8
1974,2,0.1
1974,3,3.1
1974,4,4.7
1974,5,4.8
1974,6,6.2
1974,7,8.3
1974,8,8.0
1974,9,6.5
1974,10,4.0
1974,11,3.5
1974,12,-1.6
1975,1,-1.3
1975,2,2.3
1975,3,-0.0
