 ár,mán,  t
1976,8,11.7
1976,9,7.6
1976,10,6.0
1976,11,2.6
1976,12,-1.8
1977,1,-1.1
1977,2,-0.2
1977,3,1.0
1977,4,-0.4
1977,5,5.4
1977,6,8.8
1977,7,9.6
1977,8,8.7
1977,9,6.5
1977,10,4.8
1977,11,-1.0
1977,12,1.0
1978,1,-2.5
1978,2,-2.0
1978,3,0.6
1978,4,1.7
1978,5,5.8
1978,6,7.9
1978,7,9.3
1978,8,9.6
1978,9,6.7
1978,10,3.4
1978,11,0.3
1978,12,1.0
1979,1,-5.1
1979,2,-1.0
1979,3,-4.9
1979,4,0.7
1979,5,0.1
1979,6,8.7
1979,7,7.9
1979,8,7.6
1979,9,4.4
1979,10,4.6
1979,11,0.1
1979,12,0.2
1980,1,-0.8
1980,2,0.5
1980,3,0.3
1980,4,3.7
1980,5,6.1
1980,6,7.8
1980,7,8.8
1980,8,9.3
1980,9,7.0
1980,10,1.5
1980,11,0.1
1980,12,-2.6
1981,1,-2.8
1981,2,-1.7
1981,3,-1.3
1981,4,3.1
1981,5,3.9
1981,6,6.8
1981,7,8.5
1981,8,9.9
1981,9,6.5
1981,10,0.3
1981,11,-0.7
1981,12,-1.7
1982,1,-1.3
1982,2,2.2
1982,3,0.9
1982,4,3.1
1982,5,2.8
1982,6,7.0
1982,7,11.4
1982,8,8.1
1982,9,5.2
1982,10,4.0
1982,11,-0.2
1982,12,-1.1
1983,1,-1.9
1983,2,0.9
1983,3,-0.9
1983,4,-1.6
1983,5,3.6
1983,6,8.1
1983,7,9.9
1983,8,9.5
1983,9,5.0
1983,10,2.4
1983,11,0.1
1983,12,-0.8
1984,1,-2.6
1984,2,1.7
1984,3,0.6
1984,4,4.1
1984,5,5.9
1984,6,9.3
1984,7,12.0
1984,8,11.2
1984,9,7.2
1984,10,3.1
1984,11,1.5
1984,12,1.6
1985,1,-1.2
1985,2,-0.2
1985,3,-0.7
1985,4,1.8
1985,5,5.8
1985,6,7.4
1985,7,9.0
1985,8,8.4
1985,9,5.2
1985,10,5.4
1985,11,-1.4
1985,12,-2.3
1986,1,-0.3
1986,2,-0.6
1986,3,1.1
1986,4,2.0
1986,5,3.9
1986,6,10.5
1986,7,10.3
1986,8,9.4
1986,9,6.4
1986,10,2.7
1986,11,0.6
1986,12,0.1
1987,1,1.9
1987,2,-0.9
1987,3,0.2
1987,4,3.7
1987,5,6.4
1987,6,7.1
1987,7,10.3
1987,8,9.6
1987,9,7.2
1987,10,2.9
1987,11,3.3
1987,12,1.2
1988,1,-3.7
1988,2,-2.4
1988,3,-2.1
1988,4,-1.2
1988,5,4.8
1988,6,10.2
1988,7,8.9
1988,8,9.8
1988,9,7.3
1988,10,3.3
1988,11,1.0
1988,12,-0.2
1989,1,0.7
1989,2,-2.3
1989,3,-0.8
1989,4,1.7
1989,5,4.7
1989,6,8.3
1989,7,11.0
1989,8,9.1
1989,9,7.5
1989,10,4.1
1989,11,1.9
1989,12,0.7
1990,1,1.1
1990,2,-0.9
1990,3,-1.9
1990,4,0.3
1990,5,6.3
1990,6,8.3
1990,7,9.8
1990,8,10.0
1990,9,6.3
1990,10,4.2
1990,11,1.9
1990,12,-0.2
1991,1,2.1
1991,2,1.2
1991,3,2.2
1991,4,0.8
1991,5,7.8
1991,6,7.4
1991,7,11.6
1991,8,10.6
1991,9,7.4
1991,10,4.9
1991,11,0.5
1991,12,1.1
1992,1,3.1
1992,2,0.0
1992,3,-0.5
1992,4,1.4
1992,5,5.3
1992,6,9.1
1992,7,8.9
1992,8,8.7
1992,9,7.2
1992,10,3.9
1992,11,0.8
1992,12,0.1
1993,1,-2.3
1993,2,0.5
1993,3,1.7
1993,4,2.9
1993,5,4.9
1993,6,6.8
1993,7,8.0
1993,8,8.4
1993,9,7.8
1993,10,3.5
1993,11,5.5
1993,12,-1.5
