 ár,mán,  t
1992,11,1.1
1992,12,0.1
1993,1,-1.9
1993,2,0.6
1993,3,2.0
1993,4,4.0
1993,5,6.0
1993,6,7.6
1993,7,9.6
1993,8,9.5
1993,9,8.5
1993,10,3.8
1993,11,4.5
1993,12,-0.8
1994,1,-1.7
1994,2,1.9
1994,3,-0.4
1994,4,2.0
1994,5,6.9
1994,6,8.0
1994,7,11.3
1994,8,10.4
1994,9,6.8
1994,10,4.2
1994,11,3.6
1994,12,0.0
1995,1,-0.7
1995,2,-1.8
1995,3,-1.1
1995,4,1.6
1995,5,5.8
1995,6,10.1
1995,7,9.9
1995,8,10.5
1995,9,7.2
1995,10,4.5
1995,11,2.0
1995,12,-0.7
1996,1,3.1
1996,2,-0.2
1996,3,2.5
1996,4,4.3
1996,5,5.9
1996,6,9.4
1996,7,10.5
1996,8,10.0
1996,9,10.0
1996,10,4.9
1996,11,-2.0
1996,12,-0.4
1997,1,0.4
1997,2,-0.4
1997,3,0.6
1997,4,3.3
1997,5,5.3
1997,6,7.9
1997,7,10.8
1997,8,10.8
1997,9,7.6
1997,10,4.3
1997,11,4.7
1997,12,2.5
1998,1,1.0
1998,2,-0.7
1998,3,-1.0
1998,4,2.5
1998,5,7.0
1998,6,7.5
1998,7,10.0
1998,8,10.5
1998,9,8.2
1998,10,3.2
1998,11,2.8
1998,12,1.5
1999,1,0.9
1999,2,-1.1
1999,3,-0.6
1999,4,2.7
1999,5,6.3
1999,6,8.9
1999,7,10.6
1999,8,10.2
1999,9,8.3
1999,10,5.8
1999,11,1.9
1999,12,-0.8
2000,1,0.4
2000,2,-0.5
2000,3,0.1
2000,4,0.7
2000,5,6.3
2000,6,7.9
2000,7,10.3
2000,8,10.6
2000,9,8.8
2000,10,5.6
2000,11,2.7
2000,12,1.1
2001,1,2.3
2001,2,0.5
2001,3,-0.5
2001,4,3.0
2001,5,6.8
2001,6,8.5
2001,7,10.4
2001,8,10.4
2001,9,8.6
2001,10,7.1
2001,11,1.2
2001,12,1.0
2002,1,1.6
2002,2,-2.2
2002,3,0.2
2002,4,4.8
2002,5,6.9
2002,6,10.0
2002,7,10.6
2002,8,10.6
2002,9,8.8
2002,10,5.5
2002,11,5.4
2002,12,3.6
2003,1,0.1
2003,2,3.1
2003,3,3.9
2003,4,5.7
2003,5,5.6
2003,6,9.9
2003,7,11.4
2003,8,12.3
2003,9,8.4
2003,10,4.1
2003,11,3.3
2003,12,0.3
2004,1,-0.1
2004,2,0.4
2004,3,4.3
2004,4,5.7
2004,5,7.2
2004,6,9.2
2004,7,11.2
2004,8,11.8
2004,9,9.3
2004,10,5.1
2004,11,1.9
2004,12,-0.7
2005,1,-0.2
2005,2,0.7
2005,3,2.5
2005,4,4.0
2005,5,5.0
2005,6,9.4
2005,7,11.2
2005,8,10.2
2005,9,6.2
2005,10,3.9
2005,11,1.5
2005,12,2.4
2006,1,2.2
2006,2,3.1
2006,3,0.6
2006,4,3.1
2006,5,5.8
2006,6,9.9
2006,7,11.0
2006,8,11.4
