 ár,mán,  t
1949,1,-2.6
1949,2,0.6
1949,3,-0.5
1949,4,-0.3
1949,5,3.1
1949,6,8.7
1949,7,10.3
1949,8,9.2
1949,9,8.0
1949,10,4.0
1949,11,3.5
1949,12,-0.5
1950,1,3.1
1950,2,-0.6
1950,3,1.5
1950,4,0.9
1950,5,5.9
1950,6,8.5
1950,7,9.6
1950,8,9.8
1950,9,7.5
1950,10,4.9
1950,11,1.8
1950,12,-1.1
1951,1,0.1
1951,2,0.8
1951,3,-2.6
1951,4,-0.9
1951,5,6.3
1951,6,7.1
1951,7,10.2
1951,8,9.4
1951,9,8.4
1951,10,5.3
1951,11,1.8
1951,12,-0.3
1952,1,-1.1
1952,2,0.5
1952,3,0.4
1952,4,3.6
1952,5,4.7
1952,6,7.2
1952,7,9.5
1952,8,8.8
1952,9,7.4
1952,10,5.5
1952,11,1.7
1952,12,1.4
1953,1,0.4
1953,2,0.8
1953,3,3.6
1953,4,-0.5
1953,5,5.6
1953,6,9.4
1953,7,9.8
1953,8,10.2
1953,9,9.1
1953,10,5.4
1953,11,2.4
1953,12,3.2
1954,1,2.3
1954,2,0.9
1954,3,0.9
1954,4,3.8
1954,5,5.5
1954,6,8.4
1954,7,9.3
1954,8,9.4
1954,9,5.8
1954,10,4.0
1954,11,3.0
1954,12,0.0
1955,1,-1.6
1955,2,-2.3
1955,3,0.2
1955,4,3.9
1955,5,4.3
1955,6,7.3
1955,7,11.0
1955,8,10.2
1955,9,8.1
1955,10,2.9
1955,11,2.9
1955,12,-1.2
1956,1,-2.8
1956,2,2.5
1956,3,2.5
1956,4,2.2
1956,5,6.7
1956,6,8.2
1956,7,9.5
1956,8,8.0
1956,9,8.3
1956,10,4.6
1956,11,4.8
1956,12,2.5
1957,1,2.4
1957,2,-0.7
1957,3,0.7
1957,4,4.6
1957,5,4.9
1957,6,6.7
1957,7,7.9
1957,8,9.1
1957,9,6.6
1957,10,4.6
1957,11,3.0
1957,12,0.6
1958,1,-1.3
1958,2,-1.8
1958,3,-0.1
1958,4,3.8
1958,5,3.1
1958,6,6.6
1958,7,8.6
1958,8,8.8
1958,9,9.2
1958,10,6.4
1958,11,4.6
1958,12,1.3
1959,2,3.3
1959,3,4.1
1959,4,1.6
1959,5,5.7
1959,6,7.4
1959,7,8.9
1959,8,9.1
1959,9,8.8
1959,10,6.8
1959,11,2.5
1959,12,2.3
1960,1,1.5
1960,2,-0.3
1960,3,2.3
1960,4,3.9
1960,5,6.0
1960,6,8.7
1960,7,9.7
1960,8,9.0
1960,9,8.3
1960,10,5.1
1960,11,4.0
1960,12,1.4
