 ár,mán,  t
1966,10,0.9
1966,11,-1.7
1966,12,-3.5
1967,1,-1.4
1967,2,-0.3
1967,3,-6.0
1967,4,-0.3
1967,5,1.0
1967,6,6.1
1967,7,6.8
1967,8,8.4
1967,9,6.6
1967,10,0.7
1967,11,-2.1
1967,12,-2.9
1968,1,-4.3
1968,2,-4.1
1968,3,-3.4
1968,4,-1.0
1968,5,1.9
1968,6,3.6
1968,7,9.3
1968,8,8.4
1968,9,7.0
1968,10,-0.2
1968,11,2.1
1968,12,-2.3
1969,1,-4.3
1969,2,-6.3
1969,3,-4.3
1969,4,-2.1
1969,5,0.9
1969,6,5.4
1969,7,8.1
1969,8,9.7
1969,9,5.0
1969,10,3.0
1969,11,-3.2
1969,12,-2.3
1970,1,-2.5
1970,2,-4.6
1970,3,-4.6
1970,4,0.1
1970,5,2.5
1970,6,7.6
1970,7,6.5
1970,8,8.5
1970,9,5.4
1970,10,1.8
1970,11,-1.9
1970,12,-0.0
1971,1,-6.7
1971,2,-2.0
1971,3,-1.6
1971,4,0.6
1971,5,3.5
1971,6,6.3
1971,7,8.2
1971,9,5.8
1971,10,1.8
1971,11,-1.1
1971,12,-2.3
1972,1,1.1
1972,2,-0.1
1972,3,0.6
1972,4,1.3
1972,5,5.7
1972,6,6.3
1972,7,9.0
1972,8,8.2
1972,9,6.8
1972,10,3.1
1972,11,-1.4
1972,12,-0.1
1973,1,1.1
1973,2,-5.1
1973,3,-0.5
1973,4,1.4
1973,5,3.7
1973,6,5.3
1973,7,8.8
1973,8,8.3
1973,9,7.3
1973,10,2.5
1973,11,-4.3
1973,12,-6.2
1974,1,-1.0
1974,2,-2.2
1974,3,1.8
1974,4,4.9
1974,5,6.2
1974,6,7.6
1974,7,8.9
1974,8,7.3
1974,9,4.3
1974,10,3.6
1974,11,0.5
1974,12,-4.4
1975,1,-6.7
1975,2,0.3
1975,3,-1.9
1975,4,0.0
1975,5,4.8
1975,6,5.1
1975,7,9.2
1975,8,8.7
1975,9,4.0
1975,10,3.9
1975,11,0.5
1975,12,-2.8
1976,1,-4.8
1976,2,-1.6
1976,3,-0.3
1976,4,1.0
1976,5,3.2
1976,6,7.5
1976,7,9.8
1976,8,9.7
1976,9,6.9
1976,10,4.5
1976,11,1.6
1976,12,-3.4
1977,1,-3.8
1977,2,-4.7
1977,3,-0.3
1977,4,-0.7
1977,5,5.0
1977,6,7.2
1977,7,9.4
1977,8,8.4
1977,9,6.4
1977,10,2.7
1977,11,-2.9
1977,12,-1.2
1978,1,-4.0
1978,2,-3.5
1978,3,-1.6
1978,4,1.3
1978,5,5.1
1978,6,6.6
1978,7,8.8
1978,8,10.4
1978,9,5.2
1978,10,3.0
1978,11,-1.6
1978,12,-0.6
1979,1,-6.2
1979,2,-2.7
1979,3,-7.0
1979,4,-0.7
1979,5,-0.8
1979,6,6.6
1979,7,6.7
1979,8,7.5
1979,9,3.3
1979,10,3.4
1979,11,-0.9
1979,12,-2.5
1980,1,-3.4
1980,2,-0.7
1980,3,-0.8
1980,4,2.1
1980,5,5.3
1980,6,7.4
1980,7,9.4
1980,8,9.0
1980,9,6.2
1980,10,-0.9
1980,11,-0.9
1980,12,-3.8
1981,1,-4.7
1981,2,-4.1
1981,3,-3.1
1981,4,1.8
1981,5,2.4
1981,6,6.7
1981,7,8.0
1981,8,9.4
1981,9,4.7
1981,10,-0.9
1981,12,-4.2
1982,1,-4.2
1982,2,0.2
1982,3,-1.3
1982,4,1.7
1982,5,1.4
1982,6,6.3
1982,7,9.5
1982,8,7.3
1982,9,3.7
1982,10,2.7
1982,11,-2.4
1982,12,-3.5
1983,1,-4.6
1983,2,-0.2
1983,3,-3.1
1983,4,-2.5
1983,5,2.3
1983,7,8.4
1983,8,8.3
1983,9,4.3
1983,10,1.7
1983,11,-0.4
1983,12,-3.0
1984,1,-6.1
1984,2,-1.7
1984,3,0.0
1984,4,1.7
1984,5,4.7
1984,6,7.6
1984,7,10.4
1984,8,9.6
1984,9,5.3
1984,10,1.1
