 ár,mán,  t
1986,2,0.5
1986,3,1.0
1986,4,3.7
1986,5,5.7
1986,6,9.5
1986,7,11.1
1986,8,10.2
1986,9,6.6
1986,10,1.4
1986,11,0.5
1986,12,-1.2
1987,1,1.8
1987,2,0.3
1987,3,0.3
1987,4,3.4
1987,5,6.9
1987,6,9.9
1987,7,11.1
1987,8,10.4
1987,9,7.3
1987,10,2.3
1987,11,3.6
1987,12,3.3
1988,1,-3.7
1988,2,-2.2
1988,3,-0.7
1988,4,0.6
1988,5,6.9
1988,6,9.1
1988,7,10.7
1988,8,10.6
1988,9,7.2
1988,10,3.7
1988,11,1.9
1988,12,0.3
1989,1,0.0
1989,2,-4.2
1989,3,-1.4
1989,4,2.0
1989,5,5.8
1989,6,8.9
1989,7,10.8
1989,8,9.8
1989,9,7.4
1989,10,4.5
1989,11,0.9
1989,12,-0.6
1990,1,0.3
1990,2,-2.2
1990,3,-1.7
1990,4,-0.6
1990,5,7.1
1990,6,10.2
1990,7,11.6
1990,8,11.4
1990,9,6.7
1990,10,4.8
1990,11,2.1
1990,12,-1.2
1991,1,0.7
1991,2,2.0
1991,3,2.1
1991,4,1.8
1991,5,7.8
1991,6,10.7
1991,7,12.5
1991,8,11.2
1991,9,7.8
1991,10,4.1
1991,11,-0.5
1991,12,0.2
1992,1,1.9
1992,2,0.2
1992,3,-0.0
1992,4,3.1
1992,5,5.8
1992,6,9.1
1992,7,10.1
1992,8,9.6
1992,9,7.2
1992,10,3.1
1992,11,-0.3
1992,12,-1.3
1993,1,-3.2
1993,2,0.3
1993,3,1.7
1993,4,3.7
1993,5,5.8
1993,6,8.4
1993,7,10.9
1993,8,10.3
1993,9,8.7
1993,10,3.1
1993,11,3.7
1993,12,-2.9
1994,1,-2.5
1994,2,1.3
1994,3,-1.9
1994,4,1.1
1994,5,7.5
1994,6,8.6
1994,7,11.3
1994,8,10.7
1994,9,6.4
1994,10,3.9
1994,11,2.5
1994,12,-1.8
1995,1,-2.7
1995,2,-3.1
1995,3,-4.1
1995,4,1.0
1995,5,6.3
1995,6,10.6
1995,7,10.5
1995,8,10.7
1995,9,6.9
1995,10,2.9
1995,11,0.5
1995,12,-1.4
1996,1,2.3
1996,2,-0.5
1996,3,2.3
1996,4,5.1
1996,5,6.9
1996,6,10.0
1996,7,11.5
1996,8,10.4
1996,9,10.0
1996,10,4.4
1996,11,-4.5
1996,12,-0.8
1997,1,-0.2
1997,2,-1.4
1997,3,0.8
1997,4,3.6
1997,5,6.3
1997,6,9.2
1997,7,11.3
1997,8,11.0
1997,9,7.8
1997,10,4.9
1997,11,3.8
1997,12,2.1
1998,1,-0.1
1998,2,-1.5
1998,3,-0.9
1998,4,3.4
1998,5,8.0
1998,6,9.2
1998,7,11.5
1998,8,11.4
1998,9,7.8
1998,10,1.9
1998,11,1.9
1998,12,1.2
1999,1,-0.1
1999,2,-1.9
1999,3,-2.6
1999,4,2.3
1999,5,7.3
1999,6,9.1
1999,7,10.8
1999,8,10.5
1999,9,8.3
1999,10,4.9
1999,11,1.0
1999,12,-2.7
2000,1,-1.2
2000,2,-1.9
2000,3,-0.1
2000,4,1.3
2000,5,7.1
2000,6,9.4
2000,7,12.0
2000,8,11.3
2000,9,8.6
2000,10,4.5
2000,11,-0.1
2000,12,-0.5
2001,1,0.7
2001,2,-0.5
2001,3,-0.6
2001,4,4.1
2001,5,7.2
2001,6,9.5
2001,7,11.2
2001,8,11.2
2001,9,9.2
2001,10,6.2
2001,11,0.8
2001,12,1.1
2002,1,1.2
2002,2,-3.7
2002,3,0.3
2002,4,5.0
2002,5,7.2
2002,6,10.3
2002,7,11.3
2002,8,11.0
2002,9,8.7
2002,10,3.9
2002,11,4.8
2002,12,3.3
2003,1,0.0
2003,2,2.3
2003,3,3.5
2003,4,5.9
2003,5,6.3
2003,6,10.2
2003,7,11.9
2003,8,12.8
2003,9,7.7
2003,10,3.8
2003,11,1.8
2003,12,-0.8
2004,1,-1.0
2004,2,0.3
2004,3,4.2
2004,4,6.2
2004,5,7.5
2004,6,10.1
2004,7,12.0
2004,8,11.8
2004,9,8.5
2004,10,3.3
2004,11,1.5
2004,12,-1.1
2005,1,-1.2
2005,2,0.9
2005,3,2.7
2005,4,
2005,5,6.5
2005,6,10.5
2005,7,12.5
2005,8,10.8
2005,9,5.8
2005,10,2.1
2005,11,1.2
2005,12,2.1
2006,1,1.8
2006,2,3.1
2006,3,-0.3
2006,4,2.9
2006,5,6.7
2006,6,10.2
2006,7,11.6
2006,8,11.7
2006,9,9.9
2006,10,5.0
2006,11,0.6
2006,12,2.0
2007,1,-2.8
2007,2,0.2
2007,3,2.1
