 ár,mán,  t
1949,1,-4.2
1949,2,-1.8
1949,3,-1.5
1949,4,-2.8
1949,5,0.6
1949,6,7.3
1949,7,9.3
1949,8,8.1
1949,9,7.0
1949,10,2.5
1949,11,1.9
1949,12,-0.9
1950,1,2.2
1950,2,-1.6
1950,3,-0.4
1950,4,-0.8
1950,5,5.5
1950,6,6.7
1950,7,7.4
1950,8,7.1
1950,9,5.2
1950,11,0.9
1950,12,-2.0
1951,1,-2.1
1951,2,-1.0
1951,3,-3.4
1951,4,-1.8
1951,5,4.6
1951,6,6.1
1951,7,7.7
1951,8,7.3
1951,9,5.2
1951,10,3.0
1951,11,0.8
1951,12,-1.4
1952,1,-2.9
1952,2,-1.0
1952,3,-0.6
1952,4,-1.1
1952,5,2.4
1952,6,4.4
1952,7,8.4
1952,8,6.6
1952,9,6.5
1952,10,4.2
1952,11,1.9
1952,12,0.7
1953,1,-0.9
1953,2,0.7
1953,3,0.0
1953,4,-2.4
1953,5,3.3
1953,6,7.7
1953,7,7.5
1953,8,8.1
1953,9,7.1
1953,10,2.9
1953,11,1.4
1953,12,1.7
1954,1,1.2
1954,2,-0.7
1954,3,-1.1
1954,4,1.7
1954,5,3.8
1954,6,5.8
1954,7,6.3
1954,8,7.0
1954,9,2.8
1954,10,2.2
1954,11,2.1
1954,12,-1.1
1955,1,-2.2
1955,2,-2.3
1955,3,-0.5
1955,4,1.8
1955,5,3.3
1955,6,6.5
1955,7,10.1
1955,8,9.1
1955,9,6.0
1955,10,2.7
1955,11,2.4
1955,12,-2.6
1956,1,-3.5
1956,2,2.4
1956,3,2.0
1956,4,0.3
1956,5,3.5
1956,6,5.5
1956,7,6.9
1956,8,6.2
1956,9,6.4
1956,10,3.2
1956,11,3.5
1956,12,1.4
1957,1,1.2
1957,2,-2.1
1957,3,-1.4
1957,4,2.6
1957,5,3.9
1957,6,7.3
1957,7,8.5
1957,8,8.9
1957,9,5.3
1957,10,3.1
1957,11,2.9
1957,12,-1.1
1958,1,-2.3
1958,2,-3.0
1958,3,-1.0
1958,4,2.0
1958,5,2.5
1958,6,6.1
1958,7,7.7
1958,8,5.2
1958,9,7.9
1958,10,4.3
1958,11,3.1
1958,12,-0.2
1959,1,-3.4
1959,2,0.3
1959,3,1.4
1959,4,-0.9
1959,5,5.0
1959,6,5.7
1959,7,7.1
1959,8,6.5
1959,9,8.1
1959,10,6.3
1959,11,1.1
1959,12,0.7
1960,1,0.7
1960,2,-2.5
1960,3,0.9
1960,4,1.3
1960,5,4.0
1960,6,7.1
1960,7,8.5
1960,8,7.6
1960,9,7.3
1960,10,4.4
1960,11,4.3
1960,12,0.3
1961,1,1.2
1961,2,0.0
1961,3,-1.6
1961,4,-1.1
1961,5,5.1
1961,6,6.2
1961,7,8.3
1961,8,8.1
1961,9,6.8
1961,10,4.7
1961,11,1.8
1961,12,-1.0
1962,1,0.2
