 ár,mán,  t
1984,8,11.4
1984,9,6.4
1984,10,1.4
1984,11,-0.1
1984,12,0.8
1985,1,-3.6
1985,2,-1.2
1985,3,-2.3
1985,4,0.7
1985,5,5.7
1985,6,7.8
1985,7,8.9
1985,8,7.4
1985,9,4.5
1985,10,5.8
1985,11,-4.0
1985,12,-4.8
1986,1,-1.6
1986,2,-2.3
1986,3,0.1
1986,4,1.2
1986,5,2.9
1986,6,10.6
1986,7,10.1
1986,8,8.9
1986,9,5.4
1986,10,1.3
1986,11,-0.8
1986,12,-1.3
1987,1,0.8
1987,2,-2.1
1987,3,-0.6
1987,4,3.2
1987,5,7.1
1987,6,7.3
1987,7,10.9
1987,8,9.1
1987,9,6.6
1987,10,1.7
1987,11,2.8
1987,12,0.2
1988,1,-5.5
1988,2,-3.0
1988,3,-3.2
1988,4,-2.4
1988,5,4.5
1988,6,11.4
1988,7,9.1
1988,8,10.0
1988,9,6.8
1988,10,2.3
1988,11,0.2
1988,12,-1.2
1989,1,-0.4
1989,2,-3.5
1989,3,-1.7
1989,4,1.0
1989,5,4.4
1989,6,8.3
1989,7,12.4
1989,8,9.3
1989,9,7.2
1989,10,3.1
1989,11,-0.1
1989,12,-1.5
1990,1,-0.4
1990,2,-3.0
1990,3,-3.0
1990,4,-0.4
1990,5,6.6
1990,6,8.6
1990,7,11.1
1990,8,10.5
1990,9,5.9
1990,10,3.3
1990,11,-0.2
1990,12,-0.9
1991,1,1.1
1991,2,-0.1
1991,3,1.4
1991,4,-0.2
1991,5,8.2
1991,6,7.5
1991,7,13.4
1991,8,11.1
1991,9,6.5
1991,10,3.4
1991,11,-1.0
1991,12,-0.1
1992,1,2.3
1992,2,-1.1
1992,3,-1.2
1992,4,0.5
1992,5,5.7
1992,6,9.4
1992,7,9.1
1992,8,8.6
1992,9,6.7
1992,10,2.7
1992,11,-2.0
1992,12,-1.3
1993,1,-4.4
1993,2,0.1
1993,3,1.3
1993,4,1.9
1993,5,4.2
1993,6,6.7
1993,7,7.1
1993,8,8.8
1993,9,7.8
1993,10,2.8
1993,11,4.8
1993,12,-3.1
1994,1,-3.2
1994,2,-0.0
1994,3,-2.8
1994,4,-0.2
1994,5,6.2
1994,6,7.7
1994,7,12.6
1994,8,10.4
1994,9,4.9
1994,10,1.5
1994,11,1.5
1994,12,-1.4
1995,1,-3.5
1995,2,-4.2
1995,3,-2.9
1995,4,-0.6
1995,5,2.1
1995,6,10.5
1995,7,9.6
1995,8,11.7
1995,9,5.5
1995,10,1.7
1995,11,-0.3
1995,12,-3.7
1996,1,0.7
1996,2,-2.3
1996,3,1.1
1996,4,2.0
1996,5,4.5
1996,6,8.7
1996,7,10.9
1996,8,9.7
1996,9,10.7
1996,10,3.3
1996,11,-4.7
1996,12,-3.6
1997,1,-1.8
1997,2,-2.7
1997,3,-1.3
1997,4,2.4
1997,5,3.7
1997,6,7.3
1997,7,11.4
1997,8,10.8
1997,9,7.2
1997,10,2.4
1997,11,2.3
1997,12,0.8
1998,1,-1.9
1998,2,-3.4
1998,3,-3.2
1998,4,-0.6
1998,5,6.8
1998,6,5.6
1998,7,8.7
1998,8,10.3
1998,9,5.5
1998,10,1.3
1998,11,0.0
1998,12,-0.8
1999,1,-2.7
1999,2,-2.4
1999,3,-4.5
1999,4,-0.1
1999,5,5.4
1999,6,9.2
1999,7,11.3
1999,8,10.8
1999,9,7.0
1999,10,3.7
1999,11,0.7
1999,12,-3.5
2000,1,-0.7
2000,2,-3.1
2000,3,-0.9
2000,4,-1.4
2000,5,6.5
2000,6,7.4
2000,7,11.2
2000,8,10.8
2000,9,7.3
2000,10,3.3
2000,11,-0.7
2000,12,-1.8
2001,1,0.7
2001,2,-1.4
2001,3,-3.7
