 ár,mán,  t
1949,1,-2.6
1949,2,0.1
1949,3,-0.6
1949,4,-2.5
1949,5,0.5
1949,6,7.7
1949,7,10.4
1949,8,8.4
1949,9,8.0
1949,10,3.2
1949,11,2.5
1949,12,-1.1
1950,1,2.2
1950,2,-1.4
1950,3,-0.0
1950,4,-1.4
1950,5,5.0
1950,6,7.5
1950,7,9.3
1950,8,9.6
1950,9,6.2
1950,10,4.1
1950,11,0.9
1950,12,-1.8
1951,1,-1.4
1951,2,-0.3
1951,3,-3.9
1951,4,-2.5
1951,5,5.2
1951,6,6.5
1951,7,9.3
1951,8,8.3
1951,9,6.7
1951,10,6.1
1951,11,1.2
1951,12,0.0
1952,1,-1.3
1952,2,0.0
1952,3,-0.6
1952,4,1.2
1952,5,3.6
1952,6,3.7
1952,7,8.5
1952,8,7.4
1952,9,6.3
1952,10,5.5
1952,11,2.1
1952,12,1.0
1953,1,0.1
1953,2,0.8
1953,3,3.0
1953,4,-1.9
1953,5,4.2
1953,6,10.2
1953,7,9.3
1953,8,10.6
1953,9,8.9
1953,10,5.7
1953,11,2.4
1953,12,4.3
1954,1,2.4
1954,2,0.3
1954,3,-0.2
1954,4,2.5
1954,5,4.8
1954,6,7.1
1954,7,8.2
1954,8,8.6
1954,9,4.3
1954,10,2.7
1954,11,3.1
1954,12,-0.3
1955,1,-1.8
1955,2,-2.2
1955,3,-0.6
1955,4,3.4
1955,5,3.0
1955,6,7.2
1955,7,12.6
1955,8,11.8
1955,9,7.8
1955,10,2.4
1955,11,2.8
1955,12,-2.0
1956,1,-2.4
1956,2,2.8
1956,3,3.1
1956,4,0.8
1956,5,4.8
1956,6,6.7
1956,7,8.9
1956,8,6.7
1956,9,7.0
1956,10,4.7
1956,11,5.7
1956,12,2.3
1957,1,2.1
1957,2,-1.6
1957,3,-0.1
1957,4,3.8
1957,5,4.4
1957,6,6.4
1957,7,8.2
1957,8,9.0
1957,9,6.0
1957,10,3.8
1957,11,3.1
1957,12,-0.0
1958,1,-1.3
1958,2,-3.2
1958,3,-0.9
1958,4,2.7
1958,5,0.9
1958,6,6.0
1958,7,7.9
1958,8,7.2
1958,9,9.9
1958,10,6.3
1958,11,5.1
1958,12,0.2
1959,1,-2.9
1959,2,3.1
1959,3,3.6
1959,4,-0.1
1959,5,5.3
1959,6,6.9
1959,7,9.5
1959,8,9.0
1959,9,9.5
1959,10,8.0
1959,11,1.7
1959,12,1.6
1960,1,1.2
1960,2,-1.0
1960,3,2.3
1960,4,2.4
1960,5,6.3
1960,6,8.6
1960,7,9.1
1960,8,8.3
1960,9,8.2
1960,10,3.9
1960,11,3.7
1960,12,0.9
1961,1,1.4
1961,2,1.1
1961,3,-0.5
1961,4,-0.5
1961,5,6.7
1961,6,6.7
1961,7,8.3
1961,8,8.9
1961,9,8.2
1961,10,6.1
1961,11,2.9
1961,12,-1.5
1962,1,1.3
1962,2,-0.3
1962,3,-3.5
1962,4,3.0
1962,5,4.2
1962,6,6.8
1962,7,9.0
1962,8,8.0
1962,9,6.5
1962,10,4.8
1962,11,1.2
1962,12,0.3
1963,1,-0.9
1963,2,-0.1
1963,3,3.1
1963,4,1.5
1963,5,3.8
1963,6,8.5
1963,7,7.9
1963,8,7.1
1963,9,5.7
1963,10,5.0
1963,11,-0.4
1963,12,1.0
1964,1,2.8
1964,2,2.2
1964,3,5.2
1964,4,2.4
1964,5,5.2
1964,6,7.4
1964,7,9.6
