 ár,mán,  t
1984,12,-1.3
1985,1,-3.4
1985,2,-2.6
1985,3,-2.2
1985,4,1.6
1985,5,5.1
1985,6,7.0
1985,7,8.1
1985,8,7.5
1985,9,4.5
1985,10,5.0
1985,11,-1.0
1985,12,-4.2
1986,1,-3.1
1986,2,-1.8
1986,3,-0.6
1986,4,1.4
1986,5,3.1
1986,6,8.1
1986,7,8.0
1986,8,8.6
1986,9,5.6
1986,10,0.0
1986,11,-0.8
1986,12,-2.3
1987,1,1.5
1987,2,-1.9
1987,3,-1.3
1987,4,1.7
1987,5,5.3
1987,6,7.8
1987,7,9.8
1987,8,9.1
1987,9,6.4
1987,10,0.1
1987,11,2.8
1987,12,1.7
1988,1,-5.0
1988,2,-2.6
1988,3,-3.2
1988,4,-2.0
1988,5,3.7
1988,6,7.9
1988,7,7.4
1988,8,8.9
1988,9,5.6
1988,10,2.5
1988,11,0.5
1988,12,-1.2
1989,1,-2.2
1989,2,-5.2
1989,3,-3.1
1989,4,-1.0
1989,5,3.3
1989,6,7.2
1989,7,9.8
1989,8,8.8
1989,9,6.1
1989,10,3.6
1989,11,-0.0
1989,12,-1.3
1990,1,-1.4
1990,2,-3.3
1990,3,-3.9
1990,4,-1.7
1990,5,5.4
1990,6,7.6
1990,7,10.2
1990,8,9.5
1990,9,5.5
1990,10,3.2
1990,11,1.8
1990,12,-2.0
1991,1,-0.2
1991,2,-0.7
1991,3,0.6
1991,4,-0.3
1991,5,6.2
1991,6,7.3
1991,7,9.2
1991,8,9.6
1991,9,5.9
1991,10,3.2
1991,11,-1.2
1991,12,-0.5
1992,1,1.2
1992,2,-2.2
1992,3,-1.4
1992,4,1.0
1992,5,3.7
1992,7,8.2
1992,8,8.5
1992,9,5.4
1992,10,3.1
1992,11,-1.1
1992,12,-1.8
1993,1,-4.8
1993,2,-0.7
1993,3,-0.4
1993,4,2.2
1993,5,3.7
1993,6,6.3
1993,7,6.4
1993,8,7.7
1993,9,7.3
1993,10,2.8
1993,11,2.1
1993,12,-3.9
1994,1,-3.7
1994,2,-1.3
1994,3,-2.9
1994,4,0.2
1994,5,5.4
1994,6,6.5
1994,7,9.5
1994,8,9.9
1994,9,5.4
1994,10,1.2
1994,11,-0.3
1994,12,-2.4
1995,1,-3.3
1995,2,-4.3
1995,3,-3.1
1995,4,-0.5
1995,5,2.1
1995,6,7.7
1995,7,8.0
1995,8,10.1
1995,9,6.8
1995,10,2.1
1995,11,0.2
1995,12,-3.0
1996,1,-0.8
1996,2,-2.4
1996,3,1.7
1996,4,2.2
1996,5,5.1
1996,6,7.7
1996,7,10.5
1996,8,9.3
1996,9,9.9
1996,10,2.7
1996,11,-4.5
1996,12,-2.2
1997,1,-1.1
1997,2,-3.5
1997,4,1.8
1997,5,3.6
1997,6,5.8
1997,7,10.2
1997,8,9.2
1997,9,6.9
1997,10,3.8
1997,11,1.3
