 ár,mán,  t
1949,1,-4.1
1949,2,-1.8
1949,3,-2.4
1949,4,-2.7
1949,5,0.5
1949,6,7.8
1949,7,10.3
1949,8,8.1
1949,9,7.8
1949,10,3.0
1949,11,1.6
1949,12,-1.2
1950,1,1.9
1950,2,-1.9
1950,3,-1.0
1950,4,-1.1
1950,5,4.7
1950,6,6.5
1950,7,8.3
1950,8,8.5
1950,9,5.6
1950,10,3.7
1950,11,0.3
1950,12,-2.7
1951,1,-1.6
1951,2,-0.7
1951,3,-3.7
1951,4,-2.1
1951,5,4.4
1951,6,5.6
1951,7,8.4
1951,8,8.1
1951,9,6.2
1951,10,3.9
1951,11,0.2
1951,12,-1.5
1952,1,-2.5
1952,2,-1.8
1952,3,-1.4
1952,4,0.2
1952,5,2.7
1952,6,3.2
1952,7,8.0
1952,8,7.3
1952,9,5.6
1952,10,4.7
1952,11,0.5
1952,12,-0.1
1953,1,-1.5
1953,2,-0.5
1953,3,0.7
1953,4,-2.9
1953,5,3.7
1953,6,9.7
1953,7,8.8
1953,8,9.8
1953,9,7.9
1953,10,3.8
1953,11,1.3
1953,12,1.9
1954,1,0.6
1954,2,-0.4
1954,3,-1.0
1954,4,1.6
1954,5,4.2
1954,6,6.3
1954,7,7.7
1954,8,8.2
1954,9,4.0
1954,10,2.1
1954,11,2.0
1954,12,-1.6
1955,1,-3.1
1955,2,-3.6
1955,3,-2.2
1955,4,2.0
1955,5,3.0
1955,6,6.8
1955,7,11.3
1955,8,10.7
1955,9,6.6
1955,10,1.4
1955,11,1.6
1955,12,-3.1
1956,1,-3.7
1956,2,1.1
1956,3,1.4
1956,4,-0.1
1956,5,3.7
1956,6,5.9
1956,7,8.3
1956,8,6.6
1956,9,6.6
1956,10,3.0
1956,11,3.3
1956,12,1.0
1957,1,0.9
1957,2,-2.0
1957,3,-0.9
1957,4,2.8
1957,5,4.0
1957,6,6.0
1957,7,7.6
1957,8,8.7
1957,9,5.5
1957,10,2.8
1957,11,1.3
1957,12,-1.3
1958,1,-3.0
1958,2,-3.5
1958,3,-1.6
1958,4,1.9
1958,5,1.4
1958,6,6.2
1958,7,7.6
1958,8,6.8
1958,9,8.8
1958,10,5.1
1958,11,3.1
1958,12,-0.3
1959,1,-4.2
1959,2,0.7
1959,3,1.8
1959,4,-0.6
1959,5,5.1
1959,6,6.3
1959,7,9.0
1959,8,7.8
1959,9,8.2
1959,10,6.1
1959,11,0.8
1959,12,1.0
1960,1,-0.1
1960,2,-1.8
1960,3,1.2
1960,4,1.9
1960,5,5.3
1960,6,7.8
1960,7,9.0
1960,8,8.0
1960,9,7.4
1960,10,3.7
1960,11,3.5
1960,12,0.2
1961,1,0.7
1961,2,-0.4
1961,3,-2.0
1961,4,-1.4
1961,5,5.6
1961,6,5.6
1961,7,7.9
1961,8,8.6
1961,9,7.7
1961,10,4.9
1961,11,1.3
1961,12,-2.8
1962,1,0.2
1962,2,-1.8
1962,3,-4.2
1962,4,2.0
1962,5,3.8
1962,6,6.2
1962,7,8.5
1962,8,7.4
1962,9,6.1
1962,10,3.2
1962,11,-0.3
1962,12,-1.1
1963,1,-2.8
1963,2,-1.4
1963,3,1.9
1963,4,0.1
1963,5,2.6
1963,6,7.7
1963,7,7.2
1963,8,6.3
1963,9,4.2
1963,10,3.1
1963,11,-1.8
1963,12,-0.8
1964,1,-0.1
1964,2,0.3
1964,3,3.1
1964,4,1.5
1964,5,4.0
1964,6,7.0
1964,7,9.0
1964,8,6.4
1964,9,4.2
1964,10,3.3
1964,11,-0.3
1964,12,-3.1
1965,1,-2.2
1965,2,0.3
1965,3,-6.1
1965,4,-1.6
1965,5,1.1
1965,6,5.1
1965,7,7.8
1965,8,7.5
1965,9,3.8
1965,10,5.6
1965,11,-1.3
1965,12,-3.4
1966,1,-3.8
1966,2,-3.6
1966,3,-3.6
1966,4,1.0
1966,5,2.5
1966,6,8.3
1966,7,7.8
1966,8,7.5
1966,9,5.4
1966,10,1.5
1966,11,-1.5
1966,12,-2.4
1967,1,-1.4
1967,2,-0.1
1967,3,-6.0
1967,4,-1.7
1967,5,0.1
1967,6,5.7
1967,7,5.8
1967,8,7.5
1967,9,7.1
1967,10,1.4
1967,11,-0.9
1967,12,-2.8
1968,1,-4.3
1968,2,-4.7
1968,3,-6.0
1968,4,-2.8
1968,5,0.1
1968,6,4.8
1968,7,8.3
1968,8,8.5
1968,9,5.8
1968,10,0.5
1968,11,2.3
1968,12,-2.2
1969,1,-3.5
1969,2,-5.9
1969,3,-5.3
1969,4,-1.9
1969,5,1.8
1969,6,6.1
1969,7,6.7
1969,8,9.1
1969,9,4.9
1969,10,2.0
1969,11,-3.5
1969,12,-1.5
1970,1,-0.8
1970,2,-3.3
1970,3,-5.5
1970,4,-1.6
1970,5,2.2
1970,6,8.1
1970,7,5.7
1970,8,7.4
1970,9,5.4
1970,10,2.0
1970,11,-0.0
1970,12,-0.2
1971,1,-5.3
1971,2,-1.6
1971,3,-2.1
1971,4,-0.5
1971,5,3.4
1971,6,5.6
1971,7,7.6
1971,8,7.6
1971,9,5.2
1971,10,2.4
1971,11,-2.1
1971,12,-2.8
1972,1,1.5
1972,2,0.4
1972,3,0.5
1972,4,0.5
1972,5,4.8
1972,6,6.3
1972,7,9.2
1972,8,8.1
1972,9,6.2
1972,10,2.7
1972,11,-0.7
1972,12,0.1
1973,1,1.1
1973,2,-5.5
1973,3,-0.6
1973,4,-0.5
1973,5,2.7
1973,6,5.1
1973,7,8.2
1973,8,8.2
1973,9,6.9
1973,10,2.4
1973,11,-4.8
1973,12,-5.8
1974,1,0.4
1974,2,-1.6
1974,3,2.0
1974,4,4.5
1974,5,4.7
1974,6,7.3
1974,7,7.6
1974,8,7.1
1974,9,4.5
1974,10,2.4
1974,11,1.5
1974,12,-3.9
1975,1,-4.3
1975,2,0.0
1975,3,-2.8
1975,4,-1.0
1975,5,3.7
1975,6,4.5
1975,7,8.8
1975,8,8.8
1975,9,3.3
1975,10,3.6
1975,11,0.7
1975,12,-3.6
1976,1,-4.2
1976,2,-1.2
1976,3,0.6
1976,4,0.3
1976,5,2.6
1976,6,6.6
1976,7,9.6
1976,8,10.5
1976,9,6.4
1976,10,5.2
1976,11,1.4
1976,12,-2.6
1977,1,-1.9
1977,2,-1.0
1977,3,-0.7
1977,4,-1.6
1977,5,4.2
1977,6,6.7
1977,7,7.9
1977,8,7.5
1977,9,5.9
1977,10,3.1
1977,11,-2.2
1977,12,-0.8
1978,1,-3.2
1978,2,-3.3
1978,3,-1.2
1978,4,0.8
1978,5,4.9
1978,6,6.1
1978,7,7.7
1978,8,9.3
1978,9,5.5
1978,10,2.7
1978,11,-0.9
1978,12,0.6
1979,1,-5.6
1979,2,-2.8
1979,3,-6.9
1979,4,-1.6
1979,5,-1.9
1979,6,5.9
1979,7,5.6
1979,8,6.3
1979,9,2.5
1979,10,3.0
1979,11,-0.2
1979,12,-0.8
1980,1,-1.9
1980,2,-0.7
1980,3,-0.8
1980,4,2.0
1980,5,5.5
1980,6,6.8
1980,7,8.0
1980,8,8.9
