 ár,mán,  t
1980,9,6.7
1980,10,1.0
1980,11,-0.8
1980,12,-3.5
1981,1,-3.8
1981,2,-3.7
1981,3,-2.6
1981,4,1.7
1981,5,1.9
1981,6,4.9
1981,7,7.5
1981,8,9.5
1981,9,5.5
1981,10,-0.2
1981,11,-1.7
1981,12,-2.4
1982,1,-2.9
1982,2,0.5
1982,3,-1.2
1982,4,0.8
1982,5,0.9
1982,6,5.5
1982,7,10.4
1982,8,7.1
1982,9,4.2
1982,10,3.7
1982,11,-0.8
1982,12,-2.1
1983,1,-3.1
1983,2,0.0
1983,3,-2.5
1983,4,-3.4
1983,5,1.6
1983,6,6.6
1983,7,8.9
1983,8,8.5
1983,9,4.2
1983,10,1.8
1983,11,-0.3
1983,12,-1.6
1984,1,-3.5
1984,2,0.6
1984,3,-0.7
1984,4,3.0
1984,5,4.8
1984,6,7.7
1984,7,10.4
1984,8,11.1
1984,9,6.2
1984,10,2.9
1984,11,0.9
1984,12,0.6
1985,1,-1.6
1985,2,-1.2
1985,3,-1.9
1985,4,0.3
1985,5,4.6
1985,6,6.3
1985,7,7.4
1985,8,6.5
1985,9,4.6
1985,10,4.9
1985,11,-1.5
1985,12,-2.3
1986,1,-0.6
1986,2,-1.5
1986,3,0.1
1986,4,0.7
1986,5,1.8
1986,6,9.2
1986,7,9.1
1986,8,8.2
1986,9,5.1
1986,10,1.4
1986,11,-0.2
1986,12,-1.0
1987,1,0.9
1987,2,-1.5
1987,3,-0.6
1987,4,2.5
1987,5,5.4
1987,6,6.3
1987,7,9.3
1987,8,8.7
1987,9,6.3
1987,10,2.3
1987,11,3.2
1987,12,0.8
1988,1,-4.2
1988,2,-3.2
1988,3,-3.4
1988,4,-2.9
1988,5,2.8
1988,6,9.1
1988,7,7.8
1988,8,8.7
1988,9,6.0
1988,10,2.4
1988,11,0.3
1988,12,-1.1
1989,1,-1.5
1989,2,-3.7
1989,3,-2.1
1989,4,-0.2
1989,5,3.0
1989,6,6.9
1989,7,10.1
1989,8,8.6
1989,9,6.8
1989,10,3.5
1989,11,1.3
1989,12,-0.3
1990,1,0.5
1990,2,-1.2
1990,3,-3.8
1990,4,-1.2
1990,5,4.8
1990,6,6.8
1990,7,9.3
1990,8,8.8
1990,9,5.9
1990,10,3.3
1990,11,1.6
1990,12,-0.4
1991,1,0.8
1991,2,0.2
1991,3,1.3
1991,4,-0.8
1991,5,6.2
1991,6,6.2
1991,7,10.7
1991,8,10.4
1991,9,6.3
1991,10,4.4
1991,11,0.0
1991,12,0.3
1992,1,1.5
1992,2,-1.5
1992,3,-1.6
1992,4,0.1
1992,5,4.5
1992,6,8.6
1992,7,8.1
1992,8,7.8
1992,9,6.3
1992,10,3.8
1992,11,0.4
1992,12,-0.8
1993,1,-3.5
1993,2,-0.9
1993,3,-0.2
1993,4,1.4
1993,5,3.5
1993,6,5.2
1993,7,6.2
1993,8,7.5
1993,9,7.5
1993,10,3.2
1993,11,3.5
1993,12,-1.6
1994,1,-2.5
1994,2,0.1
1994,3,-1.9
1994,4,-0.4
1994,5,4.6
1994,6,6.3
1994,7,11.5
1994,8,10.0
1994,9,6.2
1994,10,1.9
1994,11,1.8
1994,12,-1.2
1995,1,-2.4
1995,2,-3.2
1995,3,-2.7
1995,4,-1.2
1995,5,1.3
1995,6,8.5
1995,7,8.2
1995,8,11.1
1995,9,5.8
1995,10,3.0
1995,11,0.7
1995,12,-1.7
1996,1,0.8
1996,2,-1.4
1996,3,1.8
1996,4,1.5
1996,5,3.8
1996,6,7.5
1996,7,9.8
1996,8,9.3
1996,9,10.4
1996,10,3.1
1996,11,-3.1
1996,12,-1.5
1997,1,-0.8
1997,2,-1.9
1997,3,-1.8
1997,4,0.9
1997,5,2.5
1997,6,5.5
1997,7,10.2
1997,8,9.9
1997,9,7.3
1997,10,2.9
1997,11,2.8
1997,12,1.4
1998,1,-0.6
1998,2,-3.3
1998,3,-3.5
1998,4,-0.4
1998,5,5.1
1998,6,4.7
1998,7,6.6
1998,8,9.2
1998,9,6.1
1998,10,1.8
1998,11,0.9
1998,12,0.5
1999,1,-1.3
1999,2,-2.2
1999,3,-2.4
1999,4,-0.6
1999,5,4.7
1999,6,8.8
1999,7,10.4
1999,8,10.3
1999,9,7.3
1999,10,4.3
1999,11,1.1
1999,12,-1.4
2000,1,-0.7
2000,2,-2.0
2000,3,-1.4
2000,4,-1.3
2000,5,5.7
2000,6,5.7
2000,7,10.3
2000,8,10.3
2000,9,8.2
2000,10,4.2
2000,11,1.0
2000,12,-0.4
2001,1,1.5
2001,2,-0.8
2001,3,-3.0
2001,4,0.3
2001,5,5.1
2001,6,5.8
2001,7,8.9
2001,8,8.5
2001,9,7.4
2001,10,4.8
2001,11,0.6
2001,12,0.5
2002,1,0.2
2002,2,-3.9
2002,3,-2.5
2002,4,2.6
2002,5,3.1
2002,6,7.1
2002,7,9.7
2002,8,9.2
2002,9,8.4
2002,10,4.2
2002,11,3.5
2002,12,2.7
2003,1,-0.9
2003,2,1.5
2003,3,3.0
2003,4,4.2
2003,5,3.4
2003,6,8.0
2003,7,9.6
2003,8,11.8
2003,9,8.3
2003,10,3.3
2003,11,2.1
2003,12,-1.5
2004,1,-1.6
2004,2,
2004,3,
2004,4,
2004,5,4.0
2004,6,7.4
2004,7,10.5
2004,8,11.0
2004,9,8.2
2004,10,3.9
