 ár,mán,  t
1961,1,-0.3
1961,2,-0.7
1961,3,-1.3
1961,4,-1.2
1961,5,7.3
1961,6,7.5
1961,7,8.9
1961,8,9.2
1961,9,8.1
1961,10,5.0
1961,12,-3.2
1962,1,-0.4
1962,2,-2.0
1962,3,-4.8
1962,4,3.6
1962,5,5.3
1962,6,7.5
1962,7,10.1
1962,8,8.3
1962,9,5.8
1962,10,3.6
1962,11,-0.1
1962,12,-1.4
1963,1,-3.1
1963,2,-1.3
1963,3,2.2
1963,4,1.0
1963,5,4.6
1963,6,9.3
1963,7,8.5
1963,8,7.5
1963,9,4.8
1963,10,3.6
1963,11,-2.1
1963,12,-0.8
1964,1,1.1
1964,2,0.5
1964,3,4.6
1964,4,2.2
1964,5,5.6
1964,6,8.1
1964,7,10.5
1964,8,7.5
1964,9,4.2
1964,10,4.1
1964,11,-0.0
1964,12,-3.2
1965,1,-2.7
1965,2,1.7
1965,3,-4.8
1965,4,0.2
1965,5,3.1
1965,6,7.0
1965,7,9.4
1965,8,9.0
1965,9,4.6
1965,10,6.3
1965,11,-1.4
1965,12,-4.4
1966,1,-3.2
1966,2,-4.8
1966,3,-3.3
1966,4,1.9
1966,5,4.0
1966,6,10.1
