 ár,mán,  t
1981,1,-1.7
1981,2,-0.5
1981,3,-0.3
1981,4,4.3
1981,5,6.9
1981,6,9.2
1981,7,10.9
1981,8,10.7
1981,9,7.6
1981,10,0.8
1981,11,-0.3
1981,12,-2.3
1982,1,-1.6
1982,2,2.2
1982,3,0.9
1982,4,3.7
1982,5,5.8
1982,6,10.1
1982,7,10.9
1982,8,9.9
1982,9,5.6
1982,10,4.7
1982,11,-0.5
1982,12,-1.6
1983,1,-1.5
1983,2,1.7
1983,3,0.3
1983,4,0.7
1983,5,6.4
1983,6,8.2
1983,7,8.6
1983,8,8.6
1983,9,6.7
1983,10,4.5
1983,11,1.8
1983,12,-0.3
1984,1,-4.5
1984,3,2.1
1984,4,3.6
1984,5,6.1
1984,6,9.2
1984,7,11.2
1984,8,10.0
1984,9,7.7
1984,10,3.9
1984,11,1.1
1984,12,0.9
1985,1,0.1
1985,2,1.5
1985,3,0.4
1985,4,4.3
1985,5,7.1
1985,6,9.7
1985,7,10.1
1985,8,10.7
1985,9,6.9
1985,10,6.5
1985,11,0.6
1985,12,-1.2
1986,1,-0.0
1986,2,2.0
1986,3,0.8
1986,4,4.2
1986,5,6.0
1986,6,8.6
1986,7,10.8
1986,8,10.1
1986,9,7.7
1986,10,2.6
1986,11,0.7
1986,12,-0.6
1987,1,3.4
1987,2,1.8
1987,3,0.9
1987,4,3.0
1987,5,6.6
1987,6,10.2
1987,7,11.2
1987,8,11.0
1987,9,8.2
1987,10,2.1
1987,11,4.1
1987,12,4.7
1988,1,-3.4
1988,2,-1.2
1988,3,0.5
1988,4,1.4
1988,5,7.7
1988,6,8.4
1988,7,11.2
1988,8,10.8
1988,9,7.3
1988,10,4.5
1988,11,3.9
1988,12,1.1
1989,1,0.3
1989,2,-3.0
1989,3,-1.3
1989,4,2.0
1989,5,5.2
1989,6,9.0
1989,7,9.7
1989,8,9.9
1989,9,7.1
1989,10,5.6
1989,11,2.0
1989,12,0.3
1990,1,0.7
1990,2,-1.9
1990,3,-1.0
1990,4,0.7
1990,5,7.5
1990,6,9.9
1990,7,11.6
1990,8,11.1
1990,9,6.8
1990,10,4.9
1990,11,3.9
1990,12,0.0
1991,1,1.0
1991,2,2.4
1991,3,2.0
1991,4,1.5
1991,5,7.0
1991,6,9.3
1991,7,12.8
1991,8,11.1
1991,9,7.7
1991,10,4.8
1991,11,0.0
1991,12,1.5
1992,1,2.8
1992,2,0.6
1992,3,1.1
1992,4,3.1
1992,5,5.7
1992,6,8.0
1992,7,9.8
1992,8,9.8
1992,9,7.0
1992,10,4.6
1992,11,0.8
1992,12,-0.3
1993,1,-2.4
1993,2,1.1
1993,3,1.5
1993,4,3.8
1993,5,5.3
1993,6,9.2
1993,7,10.0
1993,8,9.3
1993,9,9.1
1993,10,4.6
1993,11,3.5
1993,12,-1.7
1994,1,-1.7
1994,2,1.2
1994,3,-1.2
1994,4,1.9
1994,5,7.2
1994,6,8.3
1994,7,11.9
1994,8,10.6
1994,9,6.4
1994,10,3.3
1994,11,2.1
1994,12,-1.1
1995,1,-2.2
1995,2,-2.6
1995,3,-1.8
1995,4,2.0
1995,5,6.7
1995,6,9.0
1995,7,10.6
1995,8,10.5
1995,9,8.0
1995,10,3.5
1995,11,1.5
1995,12,-0.9
1996,1,2.2
1996,2,-0.5
1996,3,3.0
1996,4,4.9
1996,5,7.3
1996,6,9.9
1996,7,11.1
1996,8,10.5
1996,9,10.7
1996,10,4.1
1996,11,-2.7
1996,12,0.5
1997,1,1.2
1997,2,-1.4
1997,3,0.2
1997,4,4.4
1997,5,6.0
1997,6,8.3
1997,7,11.8
1997,8,11.0
1997,9,8.2
1997,10,5.5
1997,11,4.1
1997,12,3.0
1998,1,0.6
1998,2,-1.1
1998,3,-0.8
1998,4,4.3
1998,5,6.8
1998,6,10.2
1998,7,10.9
1998,8,11.3
1998,9,8.0
1998,10,2.9
1998,11,2.8
1998,12,1.4
1999,1,0.6
1999,2,-1.1
1999,3,-1.2
1999,4,2.8
1999,5,6.9
1999,6,8.9
1999,7,10.8
1999,8,11.1
1999,9,8.5
1999,10,5.8
1999,11,1.9
1999,12,-0.8
