 ár,mán,  t
1961,1,1.1
1961,2,0.0
1961,3,-1.4
1961,4,-0.3
1961,5,7.0
1961,6,8.0
1961,7,10.4
1961,8,9.3
1961,9,8.0
1961,10,5.0
1961,11,1.5
1961,12,-1.6
1962,1,-0.1
1962,2,-1.1
1962,3,-3.4
1962,4,3.1
1962,5,4.5
1962,6,7.7
1962,7,10.1
1962,8,8.6
1962,9,6.6
1962,10,3.8
1962,11,1.1
1962,12,-0.8
1963,1,-0.0
1963,2,-0.6
1963,3,2.5
1963,4,1.2
1963,5,3.4
1963,6,8.5
1963,7,8.8
1963,8,7.7
1963,9,4.8
1963,10,3.7
1963,11,-2.2
1963,12,1.0
1964,1,2.3
1964,2,2.8
1964,3,4.4
1964,4,2.6
1964,5,5.5
1964,6,8.6
1964,7,9.6
1964,8,8.4
1964,9,4.8
1964,10,4.5
1964,11,1.4
1964,12,-2.3
1965,1,-1.7
1965,2,3.8
1965,3,-3.7
1965,4,1.5
1965,5,5.3
1965,6,7.4
1965,7,10.3
1965,8,9.1
1965,9,4.8
1965,10,5.3
1965,11,0.0
1965,12,-1.2
1966,1,-2.0
1966,2,-2.3
1966,3,-2.6
1966,4,0.2
1966,5,3.7
1966,6,8.8
1966,7,10.0
1966,8,9.9
1966,9,6.4
1966,10,2.1
1966,11,-1.0
1966,12,-3.2
1967,1,-0.1
1967,2,-0.1
1967,3,-6.1
1967,4,0.1
1967,5,3.5
1967,6,8.2
1967,7,8.8
1967,8,9.5
1967,9,7.2
1967,10,1.7
1967,11,-0.3
1967,12,-2.1
1968,1,-3.3
1968,2,-3.8
1968,3,-4.1
1968,4,-0.1
1968,5,4.0
1968,6,7.7
1968,7,11.0
1968,8,8.7
1968,9,7.7
1968,10,0.8
1968,11,4.3
1968,12,-0.6
1969,1,-4.0
1969,2,-4.0
1969,3,-3.8
1969,4,-1.2
1969,5,4.7
1969,6,9.0
1969,7,9.5
1969,8,11.0
1969,9,5.4
1969,10,2.9
1969,11,-2.4
1969,12,-1.0
1970,1,-0.8
1970,2,-2.7
1970,3,-4.3
1970,4,0.1
1970,5,4.8
1970,6,8.0
1970,7,8.2
1970,8,9.0
1970,9,6.5
1970,10,2.8
1970,11,-0.1
1970,12,0.9
1971,1,-4.2
1971,2,-1.9
1971,3,-1.4
1971,4,0.7
1971,5,5.3
1971,6,7.6
1971,7,9.8
1971,8,8.9
1971,9,6.3
1971,10,2.3
1971,11,-1.1
1971,12,-1.1
1972,1,2.6
1972,2,1.4
1972,3,0.5
1972,4,1.2
1972,5,6.9
1972,6,7.2
