 ár,mán,  t
1949,1,-4.0
1949,2,-1.9
1949,3,-1.3
1949,4,-2.6
1949,5,1.1
1949,6,8.3
1949,7,10.4
1949,8,8.8
1949,9,7.6
1949,10,3.1
1949,11,2.0
1949,12,-0.8
1950,1,2.6
1950,2,-1.8
1950,3,-0.3
1950,4,-0.1
1950,5,6.2
1950,6,8.2
1950,7,10.1
1950,8,9.5
1950,9,5.6
1950,10,3.7
1950,11,1.0
1950,12,-2.1
1951,1,-2.6
1951,2,-0.8
1951,3,-3.6
1951,4,-1.4
1951,5,5.4
1951,6,7.5
1951,7,9.3
1951,8,8.7
1951,9,6.3
1951,10,3.7
1951,11,0.9
1951,12,-1.1
1952,1,-3.2
1952,2,-1.1
1952,3,-0.2
1952,4,-0.1
1952,5,3.8
1952,6,5.8
1952,7,9.2
1952,8,8.2
1952,9,6.9
1952,10,4.9
1952,11,2.2
1952,12,0.6
1953,1,-0.8
1953,2,0.9
1953,3,0.7
1953,4,-1.6
1953,5,4.8
1953,6,9.3
1953,7,9.7
1953,8,9.5
1953,9,8.5
1994,8,9.6
1994,9,5.9
1994,10,0.9
1994,11,0.7
1994,12,-1.6
1995,1,-3.3
1995,2,-3.1
1995,3,-3.2
1995,4,-0.8
1995,5,2.5
1995,6,7.7
1995,7,8.7
1995,8,10.0
1995,9,6.7
1995,10,1.6
1995,11,1.5
1995,12,-0.8
1996,1,0.2
1996,2,-1.7
1996,3,2.2
1996,4,1.2
1996,5,5.0
1996,6,7.9
1996,7,10.2
1996,8,9.1
1996,9,9.8
1996,10,2.5
1996,11,-2.0
1996,12,-0.5
1997,1,-0.4
1997,2,-2.8
1997,3,-2.2
1997,4,1.8
1997,5,3.5
1997,6,6.3
1997,7,10.5
1997,8,8.8
1997,9,6.8
1997,10,3.5
1997,11,2.2
1997,12,1.3
1998,1,-0.3
1998,2,-3.0
1998,3,-3.2
1998,4,0.5
1998,5,5.3
1998,6,7.1
1998,7,8.8
1998,8,9.9
1998,9,6.3
1998,10,2.0
1998,11,0.8
1998,12,0.1
1999,1,-0.8
1999,2,-2.3
1999,3,-3.4
1999,4,0.5
1999,5,4.5
1999,6,7.9
1999,7,10.1
1999,8,9.9
1999,9,5.7
1999,10,3.4
1999,11,1.0
1999,12,-1.2
2000,1,0.6
2000,2,-1.6
2000,3,-1.2
2000,4,0.7
2000,5,4.9
2000,6,7.7
2000,7,10.5
2000,8,9.9
2000,9,7.6
2000,10,3.6
2000,11,0.9
2000,12,-0.7
2001,1,1.7
2001,2,-0.8
2001,3,-3.2
2001,4,0.5
2001,5,4.8
2001,6,7.7
2001,7,9.2
2001,8,9.4
2001,9,8.2
2001,10,4.1
2001,11,1.2
2001,12,2.3
2002,1,-0.1
2002,2,-4.5
2002,3,-2.2
2002,4,1.7
2002,5,4.5
2002,6,9.2
2002,7,9.6
2002,8,9.2
2002,9,8.6
2002,10,5.6
2002,11,4.3
2002,12,3.6
2003,1,1.0
2003,2,1.6
2003,3,2.2
2003,4,4.3
2003,5,5.2
2003,6,9.7
2003,7,10.3
2003,8,11.9
2003,9,8.2
2003,10,4.0
2003,11,1.8
2003,12,-0.9
2004,1,-2.0
2004,2,-0.1
2004,3,2.5
2004,4,2.9
2004,5,5.1
2004,6,9.1
2004,7,11.4
2004,8,11.9
2004,9,8.1
2004,10,2.9
2004,11,0.6
2004,12,-1.9
2005,1,-0.6
2005,2,0.7
2005,3,1.6
2005,4,1.8
2005,5,4.3
2005,6,8.7
2005,7,11.1
2005,8,9.0
2005,9,4.7
2005,10,0.8
2005,11,0.3
2005,12,1.4
2006,1,0.5
2006,2,0.8
2006,3,-0.7
2006,4,0.6
2006,5,3.7
2006,6,8.2
2006,7,9.9
2006,8,10.4
2006,9,7.3
2006,10,3.2
2006,11,-0.4
2006,12,1.9
2007,1,-1.1
2007,2,-1.3
2007,3,0.4
2007,4,3.0
2007,5,3.1
2007,6,10.4
2007,7,11.0
2007,8,9.5
2007,9,6.7
2007,10,4.3
2007,11,1.6
2007,12,0.6
2008,1,-0.5
2008,2,-1.4
2008,3,-1.1
2008,4,1.5
2008,5,6.6
2008,6,8.5
2008,7,11.2
2008,8,10.6
2008,9,9.2
2008,10,2.6
2008,11,0.9
2008,12,0.8
2009,1,0.6
2009,2,-1.3
2009,3,-1.6
2009,4,1.7
2009,5,6.2
2009,6,8.5
2009,7,10.2
2009,8,9.2
2009,9,6.9
2009,10,3.7
2009,11,1.7
2009,12,0.6
2010,1,2.0
2010,2,-1.2
2010,3,0.8
2010,4,1.4
2010,5,5.8
2010,6,10.1
2010,7,10.6
2010,8,10.8
2010,9,9.6
2010,10,5.0
2010,11,0.6
2010,12,0.4
2011,1,0.5
2011,2,0.8
2011,3,-2.2
2011,4,3.2
2011,5,3.6
2011,6,6.1
2011,7,11.2
2011,8,9.2
2011,9,7.4
2011,10,3.3
2011,11,2.9
2011,12,-2.2
2012,1,0.2
2012,2,1.4
2012,3,1.9
2012,4,1.8
2012,5,4.9
2012,6,8.5
2012,7,11.1
2012,8,11.0
2012,9,5.9
2012,10,2.9
2012,11,0.1
2012,12,0.4
2013,1,1.8
2013,2,2.6
2013,3,-0.9
2013,4,-0.4
2013,5,3.7
2013,6,9.5
2013,7,10.3
2013,8,9.4
2013,9,6.1
2013,10,3.5
2013,11,0.6
2013,12,-1.4
2014,1,1.2
2014,2,-0.3
2014,3,0.2
2014,4,2.2
2014,5,6.1
2014,6,10.4
2014,7,10.2
2014,8,10.2
2014,9,9.2
2014,10,3.5
2014,11,3.7
2014,12,-0.5
2015,1,-0.6
2015,2,-1.5
2015,3,-0.0
2015,4,1.1
2015,5,2.8
2015,6,7.3
2015,7,8.1
2015,8,7.9
2015,9,8.9
2015,10,4.6
2015,11,2.0
2015,12,-0.8
2016,1,0.1
2016,2,-1.1
2016,3,1.5
2016,4,2.7
2016,5,5.6
2016,6,10.2
2016,7,9.5
2016,8,9.9
2016,9,7.7
2016,10,8.0
2016,11,3.2
2016,12,2.6
2017,1,0.2
2017,2,2.5
2017,3,0.6
2017,4,1.0
2017,5,6.3
2017,6,7.3
2017,7,10.4
2017,8,9.4
2017,9,9.3
2017,10,6.5
2017,11,0.2
2017,12,-0.9
2018,1,-0.0
2018,2,1.3
2018,3,0.9
2018,4,2.6
2018,5,4.6
2018,6,8.1
2018,7,9.1
2018,8,9.1
