 ár,mán,  t
1949,1,-1.0
1949,2,1.6
1949,3,2.0
1949,4,0.9
1949,5,4.4
1949,6,8.9
1949,7,9.7
1949,8,10.1
1949,9,8.8
1949,10,5.8
1949,11,3.9
1949,12,0.4
1950,1,3.5
1950,2,1.2
1950,3,2.7
1950,4,2.5
1950,5,6.8
1950,6,9.1
1950,7,10.5
1950,8,11.1
1950,9,7.7
1950,10,5.4
1950,11,2.1
1950,12,0.3
1951,1,0.8
1951,2,1.1
1951,3,-1.1
1951,4,0.9
1951,5,6.5
1951,6,9.1
1951,7,9.9
1951,8,10.7
1951,9,9.4
1951,10,6.2
1951,11,3.1
1951,12,1.0
1952,1,-1.3
1952,2,1.7
1952,3,2.3
1952,4,4.0
1952,5,5.8
1952,6,8.1
1952,7,9.6
1952,8,9.7
1952,9,7.1
1952,10,6.0
1952,11,3.6
1952,12,2.4
1953,1,2.0
1953,2,3.2
1953,3,3.6
1953,4,1.0
1953,5,6.6
1953,6,9.6
1953,7,10.9
1953,8,11.0
1953,9,9.8
1953,10,5.1
1953,11,3.3
1953,12,3.6
1954,1,3.2
1954,2,1.6
1954,3,2.3
1954,4,4.4
1954,5,6.2
1954,6,9.0
1954,7,10.0
1954,8,10.3
1954,9,6.5
1954,10,4.6
1954,11,3.7
1954,12,0.8
1955,1,-0.0
1955,2,-0.3
1955,3,2.3
1955,4,5.6
1955,5,5.0
1955,6,8.3
1955,7,9.5
1955,8,9.3
1955,9,7.6
1955,10,4.5
1955,11,5.1
1955,12,0.5
1956,1,-1.4
1956,2,3.7
1956,3,4.4
1956,4,4.0
1956,5,6.1
1956,6,7.8
1956,7,9.7
1956,8,9.7
1956,9,8.6
1956,10,5.2
1956,11,5.1
1956,12,3.4
1957,1,2.4
1957,2,0.4
1957,3,2.1
1957,4,5.2
1957,5,6.0
1957,6,8.3
1957,7,10.8
1957,8,10.5
1957,9,7.4
1957,10,5.1
1957,11,4.1
1957,12,1.1
1958,1,-0.8
1958,2,0.0
1958,3,1.4
1958,4,4.8
1958,5,4.7
1958,6,8.4
1958,7,10.8
1958,8,10.3
1958,9,10.6
1958,10,7.0
1958,11,5.6
1958,12,1.7
1959,1,-0.9
1959,2,3.4
1959,3,4.3
1959,4,2.8
1959,5,6.9
1959,6,7.9
1959,7,9.8
1959,8,9.8
1959,9,8.5
1959,10,7.3
1959,11,2.8
1959,12,2.5
1960,1,3.3
1960,2,0.0
1960,3,4.1
1960,4,5.2
1960,5,7.2
1960,6,9.0
1960,7,11.0
1960,8,10.9
1960,9,9.1
1960,10,6.5
1960,11,4.8
1960,12,1.6
1961,1,3.7
1961,2,2.9
1961,3,1.9
1961,4,2.9
1961,5,7.3
1961,6,8.1
1961,7,10.0
1961,8,10.0
1961,9,8.9
1961,10,6.0
1961,11,2.8
1961,12,0.0
1962,1,2.0
1962,2,1.1
1962,3,-0.7
1962,4,4.2
1962,5,6.5
1962,6,8.2
1962,7,9.8
1962,8,9.9
1962,9,7.5
1962,10,5.6
1962,11,2.5
1962,12,1.9
1963,1,1.6
1963,2,2.8
1963,3,5.0
1963,4,4.1
1963,5,5.0
1963,6,8.5
1963,7,9.5
1963,8,9.3
1963,9,6.3
1963,10,5.7
1963,11,0.8
1963,12,3.6
1964,1,4.3
1964,2,4.2
1964,3,5.7
1964,4,4.6
1964,5,6.7
1964,6,8.1
1964,7,9.2
1964,8,8.9
1964,9,7.0
1964,10,5.7
1964,11,3.8
1964,12,0.1
1965,1,1.5
1965,2,4.4
1965,3,1.2
1965,4,3.6
1965,5,6.6
1965,6,7.7
1965,7,10.1
1965,8,9.7
1965,9,7.5
1965,10,7.1
1965,11,1.8
1965,12,1.0
1966,1,0.9
1966,2,1.0
1966,3,1.0
1966,4,3.9
1966,5,5.9
1966,6,8.7
1966,7,10.0
1966,8,10.3
1966,9,8.1
1966,10,4.6
1966,11,1.6
1966,12,-0.2
1967,1,3.1
1967,2,3.0
1967,3,-1.1
1967,4,2.5
1967,5,5.4
