 ár,mán,  t
1949,1,
1949,2,
1949,3,
1949,4,
1949,6,
1949,7,
1949,9,
1949,11,
1949,12,
1950,1,
1950,2,
1950,3,
1950,4,
1950,5,
1950,6,
1950,7,
1950,8,
1950,9,
1950,10,
1950,11,
1950,12,
1951,1,
1951,2,
1951,3,
1951,4,
1951,5,
1951,6,
1951,7,
1951,8,
1951,9,
1951,10,
1951,11,
1951,12,
1952,1,
1952,2,
1952,3,
1952,4,
1952,5,
1952,6,
1952,7,
1952,8,
1952,9,
1952,10,
1952,11,
1952,12,
1953,1,
1953,2,
1953,3,
1953,4,
1953,5,
1953,6,
1953,7,
1953,8,
1953,9,
1953,10,
1953,11,
1953,12,
1954,1,
1954,2,
1954,3,
1954,4,
1954,5,
1954,6,
1954,7,
1954,8,
1954,9,
1954,10,
1954,11,1.7
1954,12,-2.5
1955,1,-3.9
1955,2,-5.1
1955,3,-1.6
1955,4,3.7
1955,5,3.4
1955,6,8.3
1955,7,13.3
1955,8,12.3
1955,9,7.9
1955,10,0.6
1955,11,1.9
1955,12,-3.9
1956,1,-4.6
1956,2,1.9
1956,3,2.6
1956,4,1.1
1956,5,6.3
1956,6,7.8
1956,7,10.0
1956,8,8.0
1956,9,7.9
1956,10,3.8
1956,11,4.4
1956,12,1.1
1957,1,0.8
1957,2,-3.4
1957,3,-0.3
1957,4,4.7
1957,5,5.0
1957,6,7.7
1957,7,9.5
1957,8,10.1
1957,9,5.7
1957,10,2.8
1957,11,0.7
1957,12,-1.9
1958,1,-3.6
1958,2,-6.0
1958,3,-2.1
1958,4,3.3
1958,5,1.4
1958,6,8.1
1958,7,9.6
1958,8,8.4
1958,9,9.8
1958,10,5.7
1958,11,3.5
1958,12,-1.8
1959,1,-5.2
1959,2,2.4
1959,3,2.5
1959,4,0.2
1959,5,7.0
1959,6,8.6
1959,7,10.6
1959,8,9.7
1959,9,9.3
1959,10,6.9
1959,11,0.7
1959,12,-0.2
1960,1,-1.2
1960,2,-2.8
1960,3,1.6
1960,4,3.4
1960,5,7.5
1960,6,9.7
1960,7,9.9
1960,8,9.0
1960,9,8.3
1960,10,2.6
1960,11,2.5
1960,12,-0.6
1961,1,-0.2
1961,2,-0.9
1961,3,-0.9
1961,4,-0.4
1961,5,7.4
1961,6,8.2
1961,7,9.7
1961,8,9.9
1961,9,8.9
1961,10,5.5
1961,11,1.3
1961,12,-4.1
1962,1,-0.4
1962,2,-2.1
1962,3,-6.3
1962,4,2.5
1962,5,5.2
1962,6,8.2
1962,7,10.3
1962,8,8.7
1962,9,6.5
1962,10,3.6
1962,11,-1.0
1962,12,-2.0
1963,1,-4.4
1963,2,-2.4
1963,3,2.8
1963,4,1.2
1963,5,4.8
1963,6,10.2
1963,7,9.1
1963,8,8.2
1963,9,5.6
1963,10,4.2
1963,11,-2.7
1963,12,-0.7
1964,1,1.2
1964,2,0.7
1964,3,4.7
1964,4,2.6
1964,5,6.2
1964,6,8.4
1964,7,10.8
1964,8,7.8
1964,9,4.9
1964,10,4.7
1964,11,0.7
1964,12,-3.2
1965,1,-2.7
1965,2,0.8
1965,3,-4.9
1965,4,1.1
1965,5,4.3
1965,6,7.7
1965,7,9.6
1965,8,9.6
1965,9,5.0
1965,10,6.4
1965,11,-1.7
1965,12,-4.9
1966,1,-3.8
1966,2,-6.5
1966,3,-3.9
1966,4,1.5
1966,5,4.5
1966,6,10.0
1966,7,10.2
1966,8,8.6
1966,9,6.4
1966,10,1.8
1966,11,-1.1
1966,12,-3.1
1967,1,-1.3
1967,2,0.5
1967,3,-6.1
1967,4,0.4
1967,5,1.8
1967,6,8.4
1967,7,8.1
1967,8,9.4
1967,9,7.6
1967,10,1.1
1967,11,-1.0
1967,12,-2.9
1968,1,-4.8
1968,2,-5.2
1968,3,-4.0
1968,4,-0.5
1968,5,2.5
1968,6,6.6
1968,7,11.4
1968,8,10.0
1968,9,7.6
1968,10,0.3
1968,11,2.5
1968,12,-2.4
1969,1,-3.0
1969,2,-5.9
1969,3,-3.2
1969,4,0.5
1969,5,3.4
1969,6,9.4
1969,7,9.8
1969,8,11.1
1969,9,5.9
1969,10,3.2
1969,11,-4.2
1969,12,-1.3
1970,1,-0.9
1970,2,-5.0
1970,3,-5.0
1970,4,-0.4
1970,5,5.2
1970,6,10.9
1970,7,7.3
1970,8,9.1
1970,9,6.4
1970,10,2.5
1970,11,-1.4
1970,12,-0.4
1971,1,-6.0
1971,2,-0.6
1971,3,-0.6
1971,4,1.4
1971,5,5.9
1971,6,7.3
1971,7,10.1
1971,8,9.2
1971,9,6.8
1971,10,3.4
1971,11,-1.5
1971,12,-2.3
1972,1,2.3
1972,2,1.1
1972,3,2.0
1972,4,2.1
1972,5,6.7
1972,6,8.3
1972,7,10.9
1972,8,9.4
1972,9,7.4
1972,10,3.7
1972,11,-0.7
1972,12,0.5
1973,1,1.8
1973,2,-4.7
1973,3,1.4
1973,4,0.8
1973,5,4.0
1973,6,7.2
1973,7,10.6
1973,8,9.2
1973,9,8.0
1973,10,3.2
1973,11,-5.9
1973,12,-6.3
1974,1,1.0
1974,2,-1.4
1974,3,3.8
1974,4,6.4
1974,5,6.5
1974,6,9.3
1974,7,9.6
1974,8,8.6
1974,9,4.9
1974,10,2.7
1974,11,1.0
1974,12,-4.6
1975,1,-5.7
1975,2,0.6
1975,3,-1.7
1975,4,-0.4
1975,5,5.7
1975,6,6.9
1975,7,11.2
1975,8,10.7
1975,9,4.2
1975,10,4.3
1975,11,1.3
1975,12,-2.0
1976,1,-4.7
1976,2,0.8
1976,3,1.9
1976,4,2.1
1976,5,4.7
1976,6,9.3
1976,7,11.7
1976,8,12.1
1976,9,7.5
1976,10,5.3
1976,11,1.7
1976,12,-4.0
1977,1,-2.7
1977,2,-2.4
1977,3,-0.1
1977,4,-1.4
1977,5,4.8
1977,6,9.1
1977,7,10.8
1977,8,9.3
1977,9,6.4
1977,10,3.8
1977,11,-2.0
1977,12,0.3
1978,1,-4.1
1978,2,-4.0
1978,3,-0.4
1978,4,1.6
1978,5,6.4
1978,6,8.2
1978,7,9.8
1978,8,11.0
1978,9,6.3
1978,10,3.4
1978,11,-1.3
1978,12,-0.2
1979,1,-6.8
1979,2,-2.8
1979,3,-7.3
1979,4,-0.3
1979,5,-0.7
1979,6,9.0
1979,7,8.6
1979,8,8.2
1979,9,3.9
1979,10,4.3
1979,11,-0.9
1979,12,-0.8
1980,1,-2.8
1980,2,-1.3
1980,3,-0.1
1980,4,3.5
1980,5,6.4
1980,6,8.4
1980,7,9.8
1980,8,9.8
1980,9,6.8
1980,10,-0.1
1980,11,-1.0
1980,12,-4.5
1981,1,-4.3
1981,2,-2.9
1981,3,-2.5
1981,4,2.7
1981,5,3.5
1981,6,7.0
1981,7,9.6
1981,8,10.7
1981,9,6.0
1981,10,-0.7
1981,11,-1.6
1981,12,-3.5
1982,1,-3.2
1982,2,1.2
1982,3,-0.2
1982,4,2.7
1982,5,2.8
1982,6,8.4
1982,7,11.8
1982,8,8.7
1982,9,4.6
1982,10,3.4
1982,11,-1.1
1982,12,-2.3
1983,1,-3.2
1983,2,0.5
1983,3,-1.6
1983,4,-2.3
1983,5,3.0
1983,6,8.9
1983,7,10.8
1983,8,10.0
1983,9,4.3
1983,10,1.8
1983,11,-0.4
1983,12,-2.4
1984,1,-4.5
1984,2,0.6
1984,3,0.3
1984,4,4.2
1984,5,6.5
1984,6,10.0
1984,7,12.9
1984,8,12.0
1984,9,6.9
1984,10,2.3
1984,11,0.1
1984,12,0.8
1985,1,-3.0
1985,2,-1.7
1985,3,-1.7
1985,4,1.1
1985,5,6.2
1985,6,8.5
1985,7,9.6
1985,8,7.9
1985,9,5.2
1985,10,5.7
1985,11,-3.0
1985,12,-4.5
1986,1,-1.7
1986,2,-2.0
1986,3,0.3
1986,4,1.8
1986,5,3.4
1986,6,10.7
1986,7,10.3
1986,8,9.5
1986,9,5.8
1986,10,2.1
1986,11,-0.6
1986,12,-1.4
1987,1,0.5
1987,2,-1.9
1987,3,-0.4
1987,4,3.7
1987,5,7.4
1987,6,7.6
1987,7,11.4
1987,8,9.6
1987,9,6.8
1987,10,2.2
1987,11,2.8
1987,12,0.4
1988,1,-5.3
1988,2,-2.9
1988,3,-3.3
1988,4,-2.2
1988,5,4.8
1988,6,11.4
1988,7,9.4
1988,8,10.2
1988,9,6.6
1988,10,2.5
1988,11,0.2
1988,12,-1.5
1989,1,-0.5
1989,2,-3.5
1989,3,-1.9
1989,4,1.4
1989,5,4.9
1989,6,8.6
1989,7,12.4
1989,8,9.8
1989,9,7.2
1989,10,3.4
1989,11,0.1
1989,12,-1.0
1990,1,-0.2
1990,2,-2.7
1990,3,-3.1
1990,4,-0.1
1990,5,6.9
1990,6,9.1
1990,7,11.5
1990,8,10.4
1990,9,6.2
1990,10,3.5
1990,11,0.5
1990,12,-0.9
1991,1,1.0
1991,2,0.1
1991,3,1.7
1991,4,0.1
1991,5,8.3
1991,6,7.7
1991,7,12.9
1991,8,11.6
1991,9,7.0
1991,10,4.0
1991,11,-1.1
1991,12,-0.0
1992,1,1.9
1992,2,-0.9
1992,3,-1.0
1992,4,1.3
1992,5,6.5
1992,6,10.2
1992,7,9.5
1992,8,8.9
1992,9,7.0
1992,10,3.2
1992,11,-0.6
1992,12,-1.1
1993,1,-4.5
1993,2,-0.5
1993,3,1.3
1993,4,2.5
1993,5,4.6
1993,6,7.3
1993,7,7.5
1993,8,8.9
1993,9,8.0
1993,10,3.2
1993,11,5.0
1993,12,-2.7
1994,1,-3.1
1994,2,0.0
1994,3,-2.2
1994,4,0.3
1994,5,6.5
1994,6,7.9
1994,7,13.0
1994,8,10.8
1994,9,6.0
1994,10,1.7
1994,11,1.8
1994,12,-1.2
1995,1,-3.1
1995,2,-4.0
1995,3,-3.1
1995,4,-0.3
1995,5,2.3
1995,6,11.0
1995,7,9.8
1995,8,11.9
1995,9,6.1
1995,10,2.3
1995,11,0.1
1995,12,-3.3
1996,1,0.4
1996,2,-2.0
1996,3,2.3
1996,4,2.5
1996,5,4.9
1996,6,9.0
1996,7,11.2
1996,8,10.3
1996,9,11.1
1996,10,3.3
1996,11,-4.6
1996,12,-3.8
1997,1,-1.7
1997,2,-2.5
1997,3,-0.9
1997,4,2.6
1997,5,4.3
1997,6,7.5
1997,7,12.4
1997,8,11.2
1997,9,7.5
1997,10,3.0
1997,11,2.5
1997,12,0.6
1998,1,-1.1
1998,2,-3.2
1998,3,-2.8
