 ár,mán,  t
1964,5,7.6
1964,6,8.8
1964,8,9.2
1964,9,5.9
1964,10,3.8
1964,11,1.2
1964,12,-4.7
1965,1,-2.0
1965,2,2.4
1965,3,-2.9
1965,4,2.8
1965,5,7.1
1965,6,8.8
1965,7,11.4
1965,8,10.1
1965,9,6.5
1965,10,6.5
1965,11,-1.7
1965,12,-3.6
1966,1,-3.2
1966,2,-3.6
1966,3,-1.4
1966,5,5.5
1966,6,10.1
1966,7,10.7
1966,8,10.6
1966,9,7.5
1966,10,1.5
1966,11,-1.1
1966,12,-3.0
1967,1,0.4
1967,2,1.3
1967,3,-4.2
1967,4,1.6
1967,5,5.5
1967,6,8.9
1967,7,11.1
1967,8,10.0
1967,9,7.3
1967,10,1.4
1967,11,-1.5
1967,12,-2.5
1968,1,-2.8
1968,2,-3.1
1968,3,-2.1
1968,4,1.7
1968,5,5.1
1968,6,8.5
1968,7,11.7
1968,8,9.8
1968,9,8.8
1968,10,2.0
1968,11,4.0
1968,12,-1.6
1969,1,-2.7
1969,2,-5.1
1969,4,2.2
1969,5,6.5
1969,6,9.7
1969,7,10.0
1969,8,11.1
1969,9,4.9
1969,10,4.5
1969,11,-4.7
1969,12,-1.1
1970,1,-0.2
1970,2,-4.2
1970,3,-3.7
1970,4,1.7
1970,5,6.5
1970,6,9.2
1970,7,9.6
1970,8,9.9
1970,9,6.9
1970,10,2.5
1970,11,-0.8
1970,12,0.1
1971,1,-4.8
1971,2,0.4
1971,3,0.4
1971,4,3.2
1971,5,6.8
1971,6,10.0
1971,7,11.0
1971,8,9.7
1971,9,7.6
1971,10,3.0
1971,11,-0.9
1971,12,-0.6
1972,1,2.0
1972,2,1.3
1972,4,3.0
1972,5,7.8
1972,6,9.2
